,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Анастасия Щеголькова,realtor,https://www.cian.ru/rent/flat/307753685/,Москва,rent,flat,21,22,2,58.0,65000,0,Ховрино,Петрозаводская ,36,Беломорская,
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307744279/,Москва,rent,flat,7,12,2,55.0,75000,0,Ховрино,Зеленоградская ,17К4,Беломорская,
2,KAIF,real_estate_agent,https://www.cian.ru/rent/flat/307741885/,Москва,rent,flat,17,22,2,55.0,150000,0,Левобережный,,С1,Беломорская,Акватория ЖК
3,ID 276792,realtor,https://www.cian.ru/rent/flat/307738873/,Москва,rent,flat,7,9,2,45.0,75000,0,Головинский,Флотская ,24,Беломорская,
4,ID 75784069,homeowner,https://khimki.cian.ru/rent/flat/307733873/,Москва,rent,flat,5,5,2,63.0,65000,0,, Победы,4,Беломорская,
5,ID 100975372,unknown,https://www.cian.ru/rent/flat/307731527/,Москва,rent,flat,17,22,2,52.1,150000,0,Левобережный,,С1,Беломорская,Акватория ЖК
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307721897/,Москва,rent,flat,3,17,2,60.0,90000,0,Ховрино, Ляпидевского,10,Беломорская,
7,Парус,real_estate_agent,https://khimki.cian.ru/rent/flat/307716277/,Москва,rent,flat,15,25,2,67.0,100000,0,, Калинина,7,Беломорская,
8,Самолет плюс - Химки,real_estate_agent,https://khimki.cian.ru/rent/flat/307715902/,Москва,rent,flat,8,9,2,46.0,53000,0,,Юбилейный проспект,18,Беломорская,
9,Екатерина Жаркова,realtor,https://khimki.cian.ru/rent/flat/307695846/,Москва,rent,flat,2,9,2,44.0,50000,0,,Московская ,19/2,Беломорская,
10,ПРЕСТИЖ,real_estate_agent,https://www.cian.ru/rent/flat/307695325/,Москва,rent,flat,7,16,2,56.0,65000,0,Ховрино,Петрозаводская ,13К2,Беломорская,
11,Дмитрий Шаренко,realtor,https://khimki.cian.ru/rent/flat/307672368/,Москва,rent,flat,4,5,2,45.0,50000,0,,Юбилейный проспект,28,Беломорская,
12,Домина Групп,real_estate_agent,https://khimki.cian.ru/rent/flat/307670990/,Москва,rent,flat,12,17,2,52.0,58000,0,, Марии Рубцовой,3,Беломорская,
13,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307667003/,Москва,rent,flat,7,14,2,48.0,50000,0,Ховрино,Фестивальная ,53К6,Беломорская,
14,ID 429984,realtor,https://www.cian.ru/rent/flat/307661931/,Москва,rent,flat,12,35,2,50.0,95000,0,Левобережный,Смольная ,49,Беломорская,
15,ID 87131145,homeowner,https://khimki.cian.ru/rent/flat/307659265/,Москва,rent,flat,15,25,2,67.3,100000,0,, Калинина,7,Беломорская,
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307654629/,Москва,rent,flat,9,24,2,65.0,110000,0,Ховрино,Клинская ,2Ак7,Беломорская,
17,MDco,real_estate_agent,https://khimki.cian.ru/rent/flat/307635432/,Москва,rent,flat,15,17,2,60.0,55000,0,,Молодежная ,1,Беломорская,
18,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307634337/,Москва,rent,flat,14,16,2,50.0,65000,0,Левобережный,Ленинградское шоссе,124к3,Беломорская,
19,KAIF,real_estate_agent,https://www.cian.ru/rent/flat/307631764/,Москва,rent,flat,10,22,2,60.0,150000,0,Левобережный,Ленинградское шоссе,69к2,Беломорская,
20,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307630669/,Москва,rent,flat,5,9,2,43.0,87000,0,Левобережный,Фестивальная ,3,Беломорская,
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307628858/,Москва,rent,flat,12,33,2,47.0,95000,0,Левобережный,Смольная ,49,Беломорская,
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307627936/,Москва,rent,flat,3,5,2,56.0,90000,0,Ховрино, Ляпидевского,10,Беломорская,
23,Павел Черкашин,realtor,https://khimki.cian.ru/rent/flat/307627441/,Москва,rent,flat,3,9,2,45.0,48000,0,,Юбилейный проспект,40,Беломорская,
24,Ольга Александрова,realtor,https://www.cian.ru/rent/flat/307617711/,Москва,rent,flat,10,35,2,48.7,100000,0,Левобережный,Фестивальная ,29,Беломорская,
25,ID 99124820,realtor,https://www.cian.ru/rent/flat/307609912/,Москва,rent,flat,13,22,2,56.0,65000,0,Левобережный,Ленинградское шоссе,124К1,Беломорская,
26,Про Жильё,real_estate_agent,https://khimki.cian.ru/rent/flat/307606894/,Москва,rent,flat,4,5,2,50.0,58000,0,,Юбилейный проспект,28,Беломорская,
27,Мост,real_estate_agent,https://khimki.cian.ru/rent/flat/307584865/,Москва,rent,flat,1,9,2,50.0,70000,0,,Куркинское шоссе,7,Беломорская,
