,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307723946/,Москва,rent,flat,2,4,2,60.0,130000,0,Тверской,1-я Брестская ,40,Белорусская,
1,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307723945/,Москва,rent,flat,2,4,2,60.0,130000,0,Тверской,1-я Брестская ,40,Белорусская,
2,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307707201/,Москва,rent,flat,12,44,2,68.7,190000,0,Пресненский,Ходынская ,2,Белорусская,
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307697956/,Москва,rent,flat,9,9,2,80.0,350000,0,Тверской,Большая Грузинская ,69,Белорусская,
4,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307684771/,Москва,rent,flat,12,44,2,69.0,190000,0,Пресненский,Ходынская ,2,Белорусская,
5,Валерия Андреева,realtor,https://www.cian.ru/rent/flat/307681657/,Москва,rent,flat,7,8,2,42.3,100000,0,Пресненский,Большая Грузинская ,62,Белорусская,
6,Екатерина Глазкова,realtor,https://www.cian.ru/rent/flat/307680863/,Москва,rent,flat,25,44,2,66.0,250000,0,Пресненский,Ходынская ,2,Белорусская,
7,ID 26632,realtor,https://www.cian.ru/rent/flat/307669013/,Москва,rent,flat,4,9,2,40.0,100000,0,Пресненский,Грузинский переулок,8,Белорусская,
8,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307656261/,Москва,rent,flat,2,8,2,40.0,90000,0,Пресненский,Большой Кондратьевский переулок,6,Белорусская,
9,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307655415/,Москва,rent,flat,10,10,2,76.0,350000,0,Тверской,Большая Грузинская ,69,Белорусская,
10,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307649494/,Москва,rent,flat,3,37,2,65.0,320000,0,Беговой,Северный ао,к3,Белорусская,Слава ЖК
11,Ксения Куксгаус,realtor,https://www.cian.ru/rent/flat/307636860/,Москва,rent,flat,6,15,2,48.0,200000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская,
12,Мария Аккуратова,realtor,https://www.cian.ru/rent/flat/307636811/,Москва,rent,flat,6,9,2,89.0,150000,0,Тверской,2-я Тверская-Ямская ,54,Белорусская,
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606188/,Москва,rent,flat,7,8,2,33.0,185000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская,
14,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307603236/,Москва,rent,flat,6,11,2,95.0,170000,0,Тверской,Лесная ,4с1,Белорусская,
15,Екатерина Рычкова,realtor,https://www.cian.ru/rent/flat/307602104/,Москва,rent,flat,9,9,2,50.0,110000,0,Беговой,Верхняя ,3К2,Белорусская,
16,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307567753/,Москва,rent,flat,10,12,2,55.0,210000,0,Тверской,2-я Брестская ,6,Белорусская,
17,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/307560217/,Москва,rent,flat,4,6,2,56.1,125000,0,Пресненский, Грузинский Вал,26С1,Белорусская,
18,Moscow Estate,real_estate_agent,https://www.cian.ru/rent/flat/307529750/,Москва,rent,flat,9,9,2,80.0,350000,0,Тверской,Большая Грузинская ,69,Белорусская,
19,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307525528/,Москва,rent,flat,13,19,2,50.0,140000,0,Пресненский, Пресненский Вал,21,Белорусская,
20,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307512096/,Москва,rent,flat,6,12,2,95.0,170000,0,Тверской,Лесная ,4с1,Белорусская,
21,Андрей Погромский,realtor,https://www.cian.ru/rent/flat/307496070/,Москва,rent,flat,14,27,2,55.3,180000,0,Беговой,Верхняя ,20к1,Белорусская,
22,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307491931/,Москва,rent,flat,7,19,2,55.0,140000,0,Пресненский, Пресненский Вал,21,Белорусская,
23,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307480581/,Москва,rent,flat,15,18,2,90.0,290000,0,Пресненский,Большая Грузинская ,37С2,Белорусская,
24,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307457087/,Москва,rent,flat,7,19,2,50.0,140000,0,Пресненский, Пресненский Вал,21,Белорусская,
25,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307433902/,Москва,rent,flat,7,17,2,42.0,175000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская,
26,РЕЛАЙФ,real_estate_agent,https://www.cian.ru/rent/flat/307409098/,Москва,rent,flat,41,44,2,49.5,155000,0,Пресненский,Ходынская ,2,Белорусская,
27,БРАЙТХОУМ,real_estate_agent,https://www.cian.ru/rent/flat/307379437/,Москва,rent,flat,6,8,2,64.0,155000,0,Тверской,1-я Тверская-Ямская ,26,Белорусская,
28,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307363206/,Москва,rent,flat,6,11,2,95.0,170000,0,Тверской,Лесная ,4с1,Белорусская,
29,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307308147/,Москва,rent,flat,10,20,2,61.0,180000,0,Беговой,Бумажный проезд,4,Белорусская,
