,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756587/,Москва,rent,flat,10,32,2,74.0,90000,0,Восточное Дегунино,Дубнинская ,40АК3,Бескудниково,
1,ИП Патынская Л. В.,real_estate_agent,https://www.cian.ru/rent/flat/307738235/,Москва,rent,flat,6,9,2,45.0,50000,0,Восточное Дегунино, 800-летия Москвы,11К7,Бескудниково,
2,ID 114895679,homeowner,https://www.cian.ru/rent/flat/307723717/,Москва,rent,flat,10,32,2,74.0,90000,0,Восточное Дегунино,Дубнинская ,40АК3,Бескудниково,
3,ID 475159,realtor,https://www.cian.ru/rent/flat/307701499/,Москва,rent,flat,3,12,2,52.0,65000,0,Восточное Дегунино,Дубнинская ,22К3,Бескудниково,
4,Татьяна Чугунова,realtor,https://www.cian.ru/rent/flat/307656235/,Москва,rent,flat,1,12,2,48.0,55000,0,Отрадное,Алтуфьевское шоссе,42А,Бескудниково,
5,СДЕЛКА,real_estate_agent,https://www.cian.ru/rent/flat/307655601/,Москва,rent,flat,19,32,2,50.0,70000,0,Восточное Дегунино,Дубнинская ,40АК2,Бескудниково,
6,For COMFORT,real_estate_agent,https://www.cian.ru/rent/flat/307650335/,Москва,rent,flat,10,32,2,76.0,90000,0,Восточное Дегунино,Дубнинская ,40АК3,Бескудниково,
7,Ксения Матвеева,realtor,https://www.cian.ru/rent/flat/307633684/,Москва,rent,flat,8,14,2,54.0,65000,0,Восточное Дегунино, 800-летия Москвы,11,Бескудниково,
8,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307564035/,Москва,rent,flat,10,32,2,75.0,90000,0,Восточное Дегунино,Дубнинская ,40АК3,Бескудниково,
9,ID 261739,real_estate_agent,https://www.cian.ru/rent/flat/307563842/,Москва,rent,flat,12,12,2,43.0,50000,0,Лианозово,Новгородская ,3К1,Бескудниково,
10,ID 1723,realtor,https://www.cian.ru/rent/flat/307554952/,Москва,rent,flat,5,22,2,59.0,65000,0,Алтуфьевский,Инженерная ,8А,Бескудниково,
11,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307359718/,Москва,rent,flat,3,18,2,56.1,74000,0,Отрадное,Алтуфьевское шоссе,42Г,Бескудниково,
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307296732/,Москва,rent,flat,8,32,2,73.6,90000,0,Восточное Дегунино,Дубнинская ,40АК2,Бескудниково,
13,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307252052/,Москва,rent,flat,23,24,2,60.0,100000,0,Бескудниковский,Дмитровское шоссе,94К1,Бескудниково,
14,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307107745/,Москва,rent,flat,8,32,2,73.6,90000,0,Восточное Дегунино,Дубнинская ,40АК2,Бескудниково,
15,ID 119365299,homeowner,https://www.cian.ru/rent/flat/306210042/,Москва,rent,flat,8,32,2,73.6,90000,0,Восточное Дегунино,Дубнинская ,40АК2,Бескудниково,
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/304955507/,Москва,rent,flat,15,17,2,60.0,118000,0,Бескудниковский,Бескудниковский проезд,4к2,Бескудниково,
17,ID 23945235,homeowner,https://www.cian.ru/rent/flat/301087690/,Москва,rent,flat,3,9,2,44.0,70000,0,Восточное Дегунино, 800-летия Москвы,11К7,Бескудниково,
18,ID 14539552,homeowner,https://www.cian.ru/rent/flat/298821734/,Москва,rent,flat,15,17,2,60.3,118000,0,Бескудниковский,Бескудниковский проезд,4к2,Бескудниково,
19,ID 7165090,realtor,https://www.cian.ru/rent/flat/272436281/,Москва,rent,flat,13,17,2,53.0,65000,0,Восточное Дегунино,Керамический проезд,57К3,Бескудниково,
20,ID 13352863,unknown,https://www.cian.ru/rent/flat/245986124/,Москва,rent,flat,4,20,2,44.0,90000,0,Дмитровский,Дмитровское шоссе,107Ак5,Бескудниково,
21,АКРУС-сити,real_estate_agent,https://www.cian.ru/rent/flat/207918471/,Москва,rent,flat,20,22,2,55.0,60000,0,Отрадное,Высоковольтный проезд,1к4,Бескудниково,
22,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
23,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы,
24,ID 16636908,homeowner,https://www.cian.ru/rent/flat/307334009/,Москва,rent,flat,16,16,1,45.0,55000,0,Восточное Дегунино,Дубнинская ,32К9,Бескудниково,
