,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721224/,Москва,rent,flat,20,22,2,44.0,75000,0,Отрадное, Римского-Корсакова,11к5,Бибирево,
1,Анастасия Усова,realtor,https://mytishchi.cian.ru/rent/flat/307716143/,Москва,rent,flat,13,22,2,42.3,25000,0,Датский квартал ЖК, Полковника Романова,5,,
2,Лидер Железнодорожный,real_estate_agent,https://www.cian.ru/rent/flat/307712510/,Москва,rent,flat,6,20,2,48.0,60000,0,Алтуфьевский,Бибиревская ,4А,Бибирево,
3,ID 80721577,realtor,https://www.cian.ru/rent/flat/307709096/,Москва,rent,flat,2,25,2,64.0,90000,0,Отрадное, Римского-Корсакова,11к8,Бибирево,
4,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307708729/,Москва,rent,flat,20,22,2,45.0,75000,0,Отрадное, Римского-Корсакова,11к5,Бибирево,
5,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307698133/,Москва,rent,flat,20,22,2,45.0,75000,0,Отрадное, Римского-Корсакова,11к5,Бибирево,
6,ID 421628,unknown,https://www.cian.ru/rent/flat/307680583/,Москва,rent,flat,3,12,2,52.6,55000,0,Бибирево, Коненкова,9,Бибирево,
7,ID 101462487,homeowner,https://www.cian.ru/rent/flat/307662480/,Москва,rent,flat,7,15,2,58.0,95000,0,Южное Медведково,Полярная ,27к4,Бибирево,
8,Инна Антипова,realtor,https://www.cian.ru/rent/flat/307634833/,Москва,rent,flat,3,8,2,38.0,70000,0,Бибирево, Корнейчука,27,Бибирево,
9,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307583406/,Москва,rent,flat,3,9,2,50.0,70000,0,Отрадное,Северный бульвар,17,Бибирево,
10,ID 1723,realtor,https://www.cian.ru/rent/flat/307554952/,Москва,rent,flat,5,22,2,59.0,65000,0,Алтуфьевский,Инженерная ,8А,Бибирево,
11,Евгений Горновой,realtor,https://www.cian.ru/rent/flat/307543322/,Москва,rent,flat,5,9,2,43.0,60000,0,Бибирево, Лескова,6А,Бибирево,
12,Ирина Захарова,realtor,https://www.cian.ru/rent/flat/307520445/,Москва,rent,flat,5,8,2,36.0,85000,0,Бибирево, Корнейчука,27,Бибирево,
13,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307451243/,Москва,rent,flat,1,16,2,40.0,80000,0,Северное Медведково,Заревый проезд,12,Бибирево,
14,Арбат-Н,real_estate_agent,https://www.cian.ru/rent/flat/307435555/,Москва,rent,flat,14,16,2,52.0,55000,0,Бибирево, Плещеева,20,Бибирево,
15,Олеся Леонтьева,realtor,https://www.cian.ru/rent/flat/307355522/,Москва,rent,flat,8,16,2,59.0,73000,0,Лианозово,Алтуфьевское шоссе,89А,Бибирево,
16,АССА,real_estate_agent,https://www.cian.ru/rent/flat/307134114/,Москва,rent,flat,1,9,2,45.9,70000,0,Бибирево, Коненкова,12А,Бибирево,
17,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307133771/,Москва,rent,flat,22,22,2,60.0,100000,0,Лианозово,Алтуфьевское шоссе,85,Бибирево,
18,Олеся Алферова,realtor,https://www.cian.ru/rent/flat/306698847/,Москва,rent,flat,7,12,2,52.0,57000,0,Лианозово,Илимская ,12,Бибирево,
19,ID 66712818,homeowner,https://mytishchi.cian.ru/rent/flat/306652589/,Москва,rent,flat,9,18,2,60.1,25000,0,Датский квартал ЖК, Полковника Романова,11,,
20,ID 111594503,homeowner,https://www.cian.ru/rent/flat/306553125/,Москва,rent,flat,9,9,2,46.1,70000,0,Северное Медведково,Широкая ,1К2,Бибирево,
21,Дмитирий Чарыков,realtor,https://www.cian.ru/rent/flat/306178704/,Москва,rent,flat,8,8,2,35.0,60000,0,Бибирево, Корнейчука,27,Бибирево,
22,ID 111821274,homeowner,https://mytishchi.cian.ru/rent/flat/301715279/,Москва,rent,flat,11,12,2,56.0,62000,0,Датский квартал ЖК, Полковника Романова,7к1,,
23,Ильнур Якупов,realtor,https://www.cian.ru/rent/flat/290526292/,Москва,rent,flat,10,17,2,64.0,75000,0,Северное Медведково,Студеный проезд,4К2,Бибирево,
24,Елена Ангелова,realtor,https://www.cian.ru/rent/flat/261368284/,Москва,rent,flat,7,9,2,48.0,80000,0,Отрадное,Северный бульвар,17,Бибирево,
25,RealtyMSK офис-ЦАО,real_estate_agent,https://www.cian.ru/rent/flat/243491784/,Москва,rent,flat,1,12,2,48.0,55000,0,Северное Медведково,Полярная ,42,Бибирево,
26,ID 21880289,homeowner,https://www.cian.ru/rent/flat/199968543/,Москва,rent,flat,5,15,2,70.2,120000,0,Отрадное, Римского-Корсакова,11к8,Бибирево,
27,Азбука Жилья Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307584262/,Москва,rent,flat,6,12,2,38.0,65000,0,Алексеевский,Новоалексеевская ,4К2,Алексеевская,
28,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы,
29,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
