,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Ольга Иванова,realtor,https://www.cian.ru/rent/flat/307729150/,Москва,rent,flat,7,12,1,39.0,45000,0,Отрадное,Березовая аллея,7,Владыкино,
1,AURELIA,real_estate_agent,https://www.cian.ru/rent/flat/307722317/,Москва,rent,flat,20,22,1,44.0,75000,0,Отрадное, Римского-Корсакова,11к5,Владыкино,
2,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307677054/,Москва,rent,flat,2,22,1,43.0,90000,0,Отрадное,Нововладыкинский проезд,1к3,Владыкино,
3,Михаил Иванов,realtor,https://www.cian.ru/rent/flat/307664977/,Москва,rent,flat,15,16,1,40.0,58000,0,Марфино,Ботаническая ,33К8,Владыкино,
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307661697/,Москва,rent,flat,4,18,1,27.0,75000,0,Останкинский,Березовая аллея,19к4,Владыкино,
5,ID 12242829,realtor,https://www.cian.ru/rent/flat/307655845/,Москва,rent,flat,14,17,1,38.1,50000,0,Отрадное,Каргопольская ,6,Владыкино,
6,ID 69398662,unknown,https://www.cian.ru/rent/flat/307636823/,Москва,rent,flat,4,9,1,33.0,50000,0,Марфино, Комдива Орлова,10,Владыкино,
7,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307630721/,Москва,rent,flat,12,18,1,35.0,70000,0,Останкинский,Березовая аллея,19к2,Владыкино,
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307628860/,Москва,rent,flat,12,16,1,20.0,53000,0,Отрадное,Алтуфьевское шоссе,2К1,Владыкино,
9,Роман Пашинин,realtor,https://www.cian.ru/rent/flat/307617167/,Москва,rent,flat,7,20,1,33.0,75000,0,Отрадное,Нововладыкинский проезд,1к3,Владыкино,
10,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307615765/,Москва,rent,flat,1,9,1,37.0,60000,0,Отрадное, Бестужевых,27А,Владыкино,
11,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307531715/,Москва,rent,flat,1,9,1,26.0,58000,0,Отрадное, Бестужевых,12Г,Владыкино,
12,ID 10774,realtor,https://www.cian.ru/rent/flat/307521452/,Москва,rent,flat,9,17,1,38.0,65000,0,Отрадное,Каргопольская ,11К1,Владыкино,
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307476864/,Москва,rent,flat,12,12,1,39.0,65000,0,Отрадное,Алтуфьевское шоссе,34А,Владыкино,
