,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740698/,Москва,rent,flat,3,12,1,33.0,65000,0,Тимирязевский,Дмитровский проезд,18,Гражданская,
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307712606/,Москва,rent,flat,3,5,1,35.0,50000,0,Хорошевский,Ленинградский проспект,45К3,Гражданская,
2,ID 83958027,unknown,https://www.cian.ru/rent/flat/307676621/,Москва,rent,flat,3,5,1,33.0,55000,0,Тимирязевский,Астрадамская ,5А,Гражданская,
3,ID 122068143,realtor,https://www.cian.ru/rent/flat/307626016/,Москва,rent,flat,9,9,1,33.0,60000,0,Тимирязевский,Тимирязевская ,9,Гражданская,
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606930/,Москва,rent,flat,7,9,1,36.0,65000,0,Хорошевский,Ленинградский проспект,43К1,Гражданская,
5,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307605968/,Москва,rent,flat,7,9,1,36.0,65000,0,Хорошевский,Ленинградский проспект,43К1,Гражданская,
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605462/,Москва,rent,flat,1,5,1,31.0,50000,0,Тимирязевский,Астрадамская ,1К2,Гражданская,
7,ID 90528510,homeowner,https://www.cian.ru/rent/flat/307603320/,Москва,rent,flat,1,5,1,31.0,60000,0,Тимирязевский,тупик Чуксин,7,Гражданская,
8,ID 89709046,realtor,https://www.cian.ru/rent/flat/307602143/,Москва,rent,flat,7,9,1,36.0,65000,0,Хорошевский,Ленинградский проспект,43К1,Гражданская,
9,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307590913/,Москва,rent,flat,7,9,1,41.0,65000,0,Хорошевский,Ленинградский проспект,43К1,Гражданская,
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307589851/,Москва,rent,flat,3,5,1,37.0,70000,0,Аэропорт,Красноармейская ,6К2,Гражданская,
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307570998/,Москва,rent,flat,6,9,1,33.0,75000,0,Аэропорт, 8 Марта,7/5,Гражданская,
12,ID 50705217,homeowner,https://www.cian.ru/rent/flat/307322711/,Москва,rent,flat,12,12,1,35.2,85000,0,Тимирязевский, Вучетича,19,Гражданская,
13,Виктория Соловьева,realtor,https://www.cian.ru/rent/flat/307287406/,Москва,rent,flat,6,9,1,33.0,78000,0,Аэропорт, 8 Марта,7/5,Гражданская,
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307218895/,Москва,rent,flat,4,22,1,46.0,72000,0,Савеловский,Полтавская ,47К2,Гражданская,
15,ID 10730838,homeowner,https://www.cian.ru/rent/flat/307060089/,Москва,rent,flat,7,25,1,47.0,125000,0,Савеловский, Юннатов,4кБ,Гражданская,
16,ID 87736077,homeowner,https://www.cian.ru/rent/flat/306751892/,Москва,rent,flat,3,5,1,33.0,70000,0,Аэропорт,Красноармейская ,6К2,Гражданская,
17,ID 1051,realtor,https://www.cian.ru/rent/flat/289133656/,Москва,rent,flat,6,6,1,41.0,70000,0,Аэропорт, Константина Симонова,8К1,Гражданская,
18,Антон Хлопков,realtor,https://www.cian.ru/rent/flat/280735795/,Москва,rent,flat,2,5,1,38.0,70000,0,Савеловский, Мишина,28,Гражданская,
19,Елена Федосеева,realtor,https://www.cian.ru/rent/flat/279310897/,Москва,rent,flat,2,9,1,33.0,75000,0,Аэропорт,Красноармейская ,27,Гражданская,
20,Вячеслав Гордеев,realtor,https://www.cian.ru/rent/flat/307631791/,Москва,rent,flat,1,5,2,45.0,65000,0,Тверской,Угловой переулок,21,Савёловская,
21,ID 11630609,homeowner,https://www.cian.ru/rent/flat/299551839/,Москва,rent,flat,1,5,1,31.0,70000,0,Марьина роща, Сущевский Вал,67,Марьина Роща,
22,ID 122008115,realtor,https://www.cian.ru/rent/flat/307575538/,Москва,rent,flat,1,6,1,42.3,55000,0,Марьина роща,площадь Борьбы,13,Достоевская,
23,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
24,Александра Мирошниченко,realtor,https://www.cian.ru/rent/flat/305944367/,Москва,rent,flat,9,14,1,20.0,60000,0,Сокол,Балтийская ,15,Сокол,
