,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Анастасия Щеголькова,realtor,https://www.cian.ru/rent/flat/307753685/,Москва,rent,flat,21,22,2,58.0,65000,0,Ховрино,Петрозаводская ,36,Грачёвская,
1,ID 40210688,realtor,https://www.cian.ru/rent/flat/307745767/,Москва,rent,flat,5,5,2,42.6,55000,0,Головинский,Онежская ,41,Грачёвская,
2,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307744279/,Москва,rent,flat,7,12,2,55.0,75000,0,Ховрино,Зеленоградская ,17К4,Грачёвская,
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307743346/,Москва,rent,flat,2,17,2,57.0,65000,0,Западное Дегунино,Базовская ,15к2,Грачёвская,
4,ПРЕСТИЖ,real_estate_agent,https://www.cian.ru/rent/flat/307695325/,Москва,rent,flat,7,16,2,56.0,65000,0,Ховрино,Петрозаводская ,13К2,Грачёвская,
5,ID 13721,realtor,https://www.cian.ru/rent/flat/307677836/,Москва,rent,flat,25,25,2,48.9,75000,0,Западное Дегунино,Базовская ,15Бк3,Грачёвская,
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307676703/,Москва,rent,flat,26,33,2,32.0,79000,0,Западное Дегунино,Базовская ,15к3,Грачёвская,
7,Оксана Штукатурова,realtor,https://www.cian.ru/rent/flat/307674639/,Москва,rent,flat,11,17,2,47.7,68000,0,Ховрино,Флотская ,17К2,Грачёвская,
8,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307667003/,Москва,rent,flat,7,14,2,48.0,50000,0,Ховрино,Фестивальная ,53К6,Грачёвская,
9,ID 12805888,homeowner,https://www.cian.ru/rent/flat/307659648/,Москва,rent,flat,26,33,2,31.9,79000,0,Западное Дегунино,Базовская ,15Бк3,Грачёвская,
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307654629/,Москва,rent,flat,9,24,2,65.0,110000,0,Ховрино,Клинская ,2Ак7,Грачёвская,
11,ID 85240346,homeowner,https://www.cian.ru/rent/flat/307533483/,Москва,rent,flat,12,14,2,40.0,70000,0,Ховрино,Зеленоградская ,31К3,Грачёвская,
12,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307496120/,Москва,rent,flat,9,9,2,45.0,55000,0,Ховрино,Фестивальная ,63к1,Грачёвская,
13,ID 80815118,unknown,https://www.cian.ru/rent/flat/307492803/,Москва,rent,flat,2,12,2,44.7,75000,0,Дмитровский,Клязьминская ,4,Грачёвская,
14,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307391475/,Москва,rent,flat,7,20,2,49.8,70000,0,Западное Дегунино,Базовская ,15Бк1,Грачёвская,
15,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307345335/,Москва,rent,flat,15,20,2,52.5,85300,0,Западное Дегунино,Ижорская ,6к2,Грачёвская,
16,Алла Киха,realtor,https://www.cian.ru/rent/flat/307244677/,Москва,rent,flat,10,12,2,43.7,60000,0,Западное Дегунино,Талдомская ,15,Грачёвская,
17,Бест на Речном,real_estate_agent,https://www.cian.ru/rent/flat/307142685/,Москва,rent,flat,5,14,2,54.0,60000,0,Головинский,Зеленоградская ,3,Грачёвская,
18,ID 23442147,homeowner,https://www.cian.ru/rent/flat/306928856/,Москва,rent,flat,7,12,2,54.6,80000,0,Ховрино,Зеленоградская ,17К4,Грачёвская,
19,ID 12474218,realtor,https://www.cian.ru/rent/flat/306803934/,Москва,rent,flat,17,20,2,44.0,59000,0,Западное Дегунино,Базовская ,15Бк4,Грачёвская,
20,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/306658650/,Москва,rent,flat,2,5,2,42.0,56000,0,Дмитровский,Коровинское шоссе,24К2,Грачёвская,
21,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306612506/,Москва,rent,flat,22,31,2,64.0,130000,0,Ховрино,Клинская ,2Ак7,Грачёвская,
22,Бест на Речном,real_estate_agent,https://www.cian.ru/rent/flat/306521721/,Москва,rent,flat,6,9,2,45.0,75000,0,Ховрино, Лавочкина,48К3,Грачёвская,
23,Василий Захаров,realtor,https://www.cian.ru/rent/flat/306094459/,Москва,rent,flat,10,33,2,48.0,85000,0,Западное Дегунино,Ижорская ,6к1,Грачёвская,
24,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/305831644/,Москва,rent,flat,11,17,2,54.0,85000,0,Ховрино,Фестивальная ,63К3,Грачёвская,
25,Анна Глушук,realtor,https://www.cian.ru/rent/flat/291717829/,Москва,rent,flat,3,18,2,54.0,60000,0,Западное Дегунино,Базовская ,15к2,Грачёвская,
26,ID 86966,homeowner,https://www.cian.ru/rent/flat/289359883/,Москва,rent,flat,2,17,2,57.0,65000,0,Западное Дегунино,Базовская ,15к2,Грачёвская,
27,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
28,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы,
29,Михаил Акуленко,realtor,https://www.cian.ru/rent/flat/290723730/,Москва,rent,flat,9,17,2,58.7,55000,0,Левобережный,Ленинградское шоссе,128,Беломорская,
