,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Александр Кабанов,realtor,https://www.cian.ru/rent/flat/307721926/,Москва,rent,flat,9,19,2,56.3,140000,0,Нагатинский затон, Корабельная,13,Коломенская,
1,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307705649/,Москва,rent,flat,9,18,2,58.0,130000,0,Нагатинский затон, Корабельная,13,Коломенская,
2,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307674600/,Москва,rent,flat,9,16,2,52.0,70000,0,Нагатинский затон,Коломенская набережная,10,Коломенская,
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307673382/,Москва,rent,flat,3,9,2,47.0,79000,0,Нагатинский затон,Судостроительная ,6,Коломенская,
4,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307665155/,Москва,rent,flat,5,14,2,52.0,165000,0,Даниловский,проспект Лихачева,20,Коломенская,
5,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307660487/,Москва,rent,flat,26,33,2,43.0,90000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Коломенская,
6,ИскИн,real_estate_agent,https://www.cian.ru/rent/flat/307658389/,Москва,rent,flat,3,9,2,50.0,65000,0,Нагатинский затон,Судостроительная ,1,Коломенская,
7,Дмитрий Симакин,realtor,https://www.cian.ru/rent/flat/307635515/,Москва,rent,flat,12,20,2,71.9,97000,0,Нагатино-Садовники,Нагатинская набережная,14К1,Коломенская,
8,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307605787/,Москва,rent,flat,24,33,2,54.0,100000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Коломенская,
9,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307604334/,Москва,rent,flat,5,14,2,52.0,175500,0,Даниловский,проспект Лихачева,20,Коломенская,
