,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Анна Горшкова,realtor,https://www.cian.ru/rent/flat/307771033/,Москва,rent,flat,13,23,2,38.1,75000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
1,Инвестправо,real_estate_agent,https://www.cian.ru/rent/flat/307745001/,Москва,rent,flat,16,25,2,43.0,100000,0,Западное Дегунино,Дмитровское шоссе,71А,Лихоборы,
2,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307744417/,Москва,rent,flat,23,33,2,44.0,100000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
3,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307726070/,Москва,rent,flat,23,33,2,45.0,100000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
4,RED,real_estate_agent,https://www.cian.ru/rent/flat/307724433/,Москва,rent,flat,5,33,2,52.1,100000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
5,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307722608/,Москва,rent,flat,24,33,2,40.0,90000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
6,ID 113931457,realtor,https://www.cian.ru/rent/flat/307678567/,Москва,rent,flat,5,22,2,33.7,26000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
7,For COMFORT,real_estate_agent,https://www.cian.ru/rent/flat/307523383/,Москва,rent,flat,24,33,2,40.0,85000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
8,Ольга Малинина,realtor,https://www.cian.ru/rent/flat/307490143/,Москва,rent,flat,9,18,2,82.6,90000,0,Коптево,Большая Академическая ,67,Лихоборы,
9,Арсенал,real_estate_agent,https://www.cian.ru/rent/flat/307018723/,Москва,rent,flat,26,33,2,49.4,95001,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
10,Московия,real_estate_agent,https://www.cian.ru/rent/flat/306990824/,Москва,rent,flat,14,32,2,38.0,85000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
11,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/306852132/,Москва,rent,flat,20,22,2,38.0,30000,0,Западное Дегунино, Летчика Осканова,6,Лихоборы,
12,ID 119864602,homeowner,https://www.cian.ru/rent/flat/305411686/,Москва,rent,flat,2,5,2,45.0,44310,0,Коптево,4-й Новомихалковский проезд,7А,Лихоборы,
13,Вячеслав Гордеев,realtor,https://www.cian.ru/rent/flat/307631791/,Москва,rent,flat,1,5,2,45.0,65000,0,Тверской,Угловой переулок,21,Савёловская,
14,ID 72976911,homeowner,https://www.cian.ru/rent/flat/283314600/,Москва,rent,flat,8,12,1,34.5,44000,0,Западное Дегунино, Бусиновская Горка,1К1,Ховрино,
15,ID 45102034,unknown,https://www.cian.ru/rent/flat/248305178/,Москва,rent,flat,2,5,1,33.0,31000,0,Алтуфьевский,Путевой проезд,10,Бескудниково,
16,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
17,Денис Комаров,realtor,https://www.cian.ru/rent/flat/279383857/,Москва,rent,flat,1,12,1,12.0,35000,0,Западное Дегунино,Дегунинская ,13,Моссельмаш,
18,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы,
19,ID 118663088,homeowner,https://www.cian.ru/rent/flat/304245664/,Москва,rent,flat,1,5,2,43.5,50000,0,Марфино,Гостиничная ,10А,Окружная,
20,Иван Тетерук,realtor,https://www.cian.ru/rent/flat/307626521/,Москва,rent,flat,3,14,1,35.0,35000,0,Северный,Дмитровское шоссе,165Ек9,Физтех,
21,ID 102783120,homeowner,https://www.cian.ru/rent/flat/307680502/,Москва,rent,flat,3,14,2,53.0,85000,0,Савеловский,4-й Вятский переулок,18К2,Дмитровская,
22,ID 16356,realtor,https://www.cian.ru/rent/flat/251669787/,Москва,rent,flat,3,5,1,31.0,40000,0,Дмитровский,Икшинская ,8,Яхромская,
23,ID 12378243,homeowner,https://www.cian.ru/rent/flat/306774135/,Москва,rent,flat,6,22,1,42.0,25500,0,Покровское-Стрешнево,бульвар Чкаловский,6,Спартак,
24,Светлана Губарькова,realtor,https://www.cian.ru/rent/flat/293609976/,Москва,rent,flat,3,9,2,45.0,45000,0,Северное Медведково,Полярная ,26К2,Медведково,
