,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,ID 23675,realtor,https://lyubertsy.cian.ru/rent/flat/307699890/,Москва,rent,flat,3,5,3,56.0,45000,0,, С.П. Попова,11,Люберцы,
1,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307673636/,Москва,rent,flat,11,19,3,80.0,77000,0,Некрасовка, Ухтомского Ополчения,5,Люберцы,
2,Алексей Колесов,realtor,https://lyubertsy.cian.ru/rent/flat/307623130/,Москва,rent,flat,3,23,3,70.0,65000,0,,Комсомольский проспект,18/1,Люберцы,
3,ID 121801119,homeowner,https://lyubertsy.cian.ru/rent/flat/307357566/,Москва,rent,flat,4,25,3,65.0,70000,0,, Рождественская,4,Люберцы,
4,Марина Гильманшина,realtor,https://lyubertsy.cian.ru/rent/flat/307057381/,Москва,rent,flat,8,18,3,78.0,75000,0,, Рождественская,8,Люберцы,
5,Юлия Вашура,realtor,https://lyubertsy.cian.ru/rent/flat/306976987/,Москва,rent,flat,5,24,3,90.0,59999,0,, Рождественская,10,Люберцы,
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306607664/,Москва,rent,flat,11,17,3,80.0,73000,0,Некрасовка, Ухтомского Ополчения,5,Люберцы,
7,Мой Дом - отделение Добрынинское,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/306607494/,Москва,rent,flat,13,19,3,82.0,77000,0,, 3-е Почтовое Отделение,42,Люберцы,
8,CENTURY 21 Перспектива,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/305420320/,Москва,rent,flat,14,17,3,80.0,65000,0,, 3-е Почтовое Отделение,9,Люберцы,
9,ID 10990907,realtor,https://lyubertsy.cian.ru/rent/flat/302959332/,Москва,rent,flat,3,9,3,54.0,50000,0,,Московская ,15,Люберцы,
10,Татьяна Чернышевская,realtor,https://lyubertsy.cian.ru/rent/flat/293703482/,Москва,rent,flat,7,17,3,53.7,55000,0,, Назаровская,4,Люберцы,
11,Мария Трофимова,realtor,https://lyubertsy.cian.ru/rent/flat/255408100/,Москва,rent,flat,5,9,3,67.0,50000,0,, Воинов-интернационалистов,3,Люберцы,
12,Галина Федоровна,realtor,https://www.cian.ru/rent/flat/219115447/,Москва,rent,flat,11,14,3,82.0,65000,0,Некрасовка,1-я Вольская ,12к1,Люберцы,
13,ID 89414531,realtor,https://lyubertsy.cian.ru/rent/flat/307677321/,Москва,rent,flat,2,18,2,54.9,60000,0,, Юности,7,Лухмановская,
14,ID 48307165,homeowner,https://lyubertsy.cian.ru/rent/flat/302647345/,Москва,rent,flat,10,17,2,41.5,46000,0,,проезд Некрасовский,13,Некрасовка,
15,Ahmadulin Estate,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307618345/,Москва,rent,flat,6,16,2,42.0,49999,0,,проезд Некрасовский,11,Некрасовка,
16,Анастасия Васильева,realtor,https://lyubertsy.cian.ru/rent/flat/285253344/,Москва,rent,flat,2,25,1,25.0,45000,0,,,4.1,Котельники,Жулебино Парк ЖК
17,Мой Дом - отделение Добрынинское,real_estate_agent,https://kotelniki.cian.ru/rent/flat/307716220/,Москва,rent,flat,5,19,2,42.0,45000,0,, Сосновая,1к2,Котельники,
18,Вера Закуткина,realtor,https://lyubertsy.cian.ru/rent/flat/307660841/,Москва,rent,flat,15,17,2,64.0,50000,0,, Кирова,5,Жулебино,
19,Роман Дружинин,realtor,https://lyubertsy.cian.ru/rent/flat/307655517/,Москва,rent,flat,1,5,1,30.0,40000,0,, 3-е Почтовое Отделение,20,Люберцы,
20,Екатерина Булгакова,realtor,https://lyubertsy.cian.ru/rent/flat/279635018/,Москва,rent,flat,3,9,2,43.0,40000,0,,Московская ,11,Люберцы,
21,ID 98734857,realtor,https://lyubertsy.cian.ru/rent/flat/307654008/,Москва,rent,flat,3,5,2,44.2,45000,0,, Кирова,41,Люберцы,
22,ID 55724848,unknown,https://kotelniki.cian.ru/rent/flat/307712324/,Москва,rent,flat,23,26,2,58.0,55000,0,,,2,Котельники,
23,ID 53005653,realtor,https://lyubertsy.cian.ru/rent/flat/306181098/,Москва,rent,flat,2,5,2,39.5,45000,0,, 3-е Почтовое Отделение,24,Люберцы,
24,SRG,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/227760381/,Москва,rent,flat,7,17,2,53.4,53000,0,, Барыкина,2,Некрасовка,
