,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Татьяна Ивашнева,realtor,https://www.cian.ru/rent/flat/307737251/,Москва,rent,flat,2,9,2,46.0,55000,0,Дмитровский,Дмитровское шоссе,155К2,Марк,
1,Юрий Павлюков,realtor,https://www.cian.ru/rent/flat/307718593/,Москва,rent,flat,12,24,2,60.0,70000,0,Лианозово,Абрамцевская ,11К3,Марк,
2,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307714344/,Москва,rent,flat,13,16,2,54.0,60000,0,Дмитровский,Дмитровское шоссе,139,Марк,
3,ID 11287316,unknown,https://www.cian.ru/rent/flat/307584899/,Москва,rent,flat,17,19,2,59.7,72000,0,Дмитровский,Долгопрудная ,7,Марк,
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307479661/,Москва,rent,flat,14,16,2,56.0,75000,0,Дмитровский,Долгопрудная ,10,Марк,
5,ID 125467,homeowner,https://www.cian.ru/rent/flat/305860044/,Москва,rent,flat,13,25,2,56.0,95000,0,Лианозово,Псковская ,7К1,Марк,
6,ID 427573,realtor,https://www.cian.ru/rent/flat/297689072/,Москва,rent,flat,8,9,2,45.0,60000,0,Дмитровский,Клязьминская ,36,Марк,
7,Салют,real_estate_agent,https://www.cian.ru/rent/flat/223279610/,Москва,rent,flat,9,9,2,35.0,50000,0,Дмитровский,Карельский бульвар,6К1,Марк,
8,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
9,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы,
10,ID 16356,realtor,https://www.cian.ru/rent/flat/251669787/,Москва,rent,flat,3,5,1,31.0,40000,0,Дмитровский,Икшинская ,8,Яхромская,
11,ID 864,realtor,https://www.cian.ru/rent/flat/241759044/,Москва,rent,flat,5,12,1,39.0,45000,0,Лианозово,Новгородская ,34,Марк,
12,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307358638/,Москва,rent,flat,3,9,3,60.4,70000,0,Бибирево, Корнейчука,47,Бибирево,
13,Юлия Булавкина,realtor,https://www.cian.ru/rent/flat/290240945/,Москва,rent,flat,7,9,2,45.0,60000,0,Северное Медведково,проезд Шокальского,67К1,Медведково,
14,Дмитрий Павленко,realtor,https://www.cian.ru/rent/flat/307296897/,Москва,rent,flat,8,20,3,75.0,75000,0,Тимирязевский,Дмитровское шоссе,55,Петровско-Разумовская,
15,ID 114989813,realtor,https://www.cian.ru/rent/flat/307628404/,Москва,rent,flat,8,9,2,45.0,58000,0,Бабушкинский,Енисейская ,10,Свиблово,
16,ID 23945235,homeowner,https://www.cian.ru/rent/flat/301087690/,Москва,rent,flat,3,9,2,44.0,70000,0,Восточное Дегунино, 800-летия Москвы,11К7,Бескудниково,
17,Лабецкий Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307627386/,Москва,rent,flat,9,20,1,40.8,65000,0,Алтуфьевский,Бибиревская ,4А,Бибирево,
18,ID 9799222,realtor,https://www.cian.ru/rent/flat/307661967/,Москва,rent,flat,4,9,1,40.0,45000,0,Восточное Дегунино, 800-летия Москвы,7К1,Бескудниково,
19,ID 8876,realtor,https://www.cian.ru/rent/flat/216612555/,Москва,rent,flat,5,14,2,44.0,50000,0,Дмитровский,Яхромская ,3К3,Яхромская,
20,ID 421628,unknown,https://www.cian.ru/rent/flat/307680583/,Москва,rent,flat,3,12,2,52.6,55000,0,Бибирево, Коненкова,9,Бибирево,
21,ID 12891199,homeowner,https://www.cian.ru/rent/flat/279189652/,Москва,rent,flat,5,16,2,56.0,80000,0,Бабушкинский,Ленская ,23,Бабушкинская,
22,ID 261739,real_estate_agent,https://www.cian.ru/rent/flat/307563842/,Москва,rent,flat,12,12,2,43.0,50000,0,Лианозово,Новгородская ,3К1,Алтуфьево,
23,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307652775/,Москва,rent,flat,2,15,2,53.0,55000,0,Западное Дегунино,Дегунинская ,20к1,Моссельмаш,
24,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307655080/,Москва,rent,flat,9,17,2,65.0,80000,0,Отрадное, Санникова,7,Отрадное,
