,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307743367/,Москва,rent,flat,9,12,2,52.0,65000,0,Строгино,Строгинский бульвар,17К1,Мякинино,
1,BRIGHT ESTATE - загородная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307721086/,Москва,rent,flat,2,8,2,78.0,270000,0,, Согласия,9/1,Мякинино,
2,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307705500/,Москва,rent,flat,11,12,2,52.0,85000,0,Строгино,Строгинский бульвар,4К1,Мякинино,
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307651335/,Москва,rent,flat,21,25,2,55.0,108000,0,Кунцево,№ 100 кв-л,1к2,Мякинино,
4,ID 15248,realtor,https://www.cian.ru/rent/flat/307628633/,Москва,rent,flat,7,12,2,45.6,60000,0,Строгино,Неманский проезд,5К1,Мякинино,
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307610225/,Москва,rent,flat,11,12,2,52.0,85000,0,Строгино,Строгинский бульвар,4К1,Мякинино,
6,ID 122042433,homeowner,https://www.cian.ru/rent/flat/307607824/,Москва,rent,flat,11,12,2,52.0,85000,0,Строгино,Строгинский бульвар,4К1,Мякинино,
7,MOTYLEK - департамент недвижимости,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307605683/,Москва,rent,flat,7,17,2,75.0,100000,0,, Спасская,1к2,Мякинино,
8,Андрей Алябьев,realtor,https://krasnogorsk.cian.ru/rent/flat/307590699/,Москва,rent,flat,7,23,2,75.0,100000,0,, Спасская,1к2,Мякинино,
9,,,https://krasnogorsk.cian.ru/rent/flat/307584253/,Москва,rent,flat,12,24,2,58.0,86000,0,,,к17,Мякинино,Спутник ЖК
10,ЦДВ Инвест,real_estate_agent,https://www.cian.ru/rent/flat/307583777/,Москва,rent,flat,4,12,2,56.0,100000,0,Строгино, Маршала Катукова,12К1,Мякинино,
11,,,https://krasnogorsk.cian.ru/rent/flat/307581832/,Москва,rent,flat,7,24,2,35.0,65000,0,,,к17,Мякинино,Спутник ЖК
12,Мой Дом - отделение Добрынинское,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307580158/,Москва,rent,flat,2,22,2,70.0,80000,0,,бульвар Ильинский,8,Мякинино,
13,ID 76153282,homeowner,https://www.cian.ru/rent/flat/307569561/,Москва,rent,flat,2,12,2,50.0,95000,0,Строгино, Кулакова,19,Мякинино,
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307566677/,Москва,rent,flat,8,12,2,46.0,80000,0,Строгино, Кулакова,15к1,Мякинино,
15,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307565964/,Москва,rent,flat,8,12,2,51.0,75000,0,Строгино, Исаковского,2К2,Мякинино,
16,Capital Mars,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307539390/,Москва,rent,flat,6,30,2,60.0,85000,0,,бульвар Подмосковный,13,Мякинино,
17,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307454562/,Москва,rent,flat,3,25,2,50.1,70500,0,Кунцево,№ 100 кв-л,1к2,Мякинино,
18,КОНСИНГО,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307434356/,Москва,rent,flat,3,22,2,50.0,70000,0,,бульвар Подмосковный,8,Мякинино,
19,Владимир Румянцев,realtor,https://www.cian.ru/rent/flat/307407755/,Москва,rent,flat,3,12,2,53.0,60000,0,Строгино, Исаковского,2К2,Мякинино,
20,ID 1371,realtor,https://krasnogorsk.cian.ru/rent/flat/307363002/,Москва,rent,flat,13,23,2,72.0,79000,0,,бульвар Красногорский,17,Мякинино,
21,Ольга Титова,realtor,https://krasnogorsk.cian.ru/rent/flat/307320788/,Москва,rent,flat,2,18,2,58.0,65000,0,, Липовой Рощи,1к1,Мякинино,
22,ID 49124902,unknown,https://krasnogorsk.cian.ru/rent/flat/307184118/,Москва,rent,flat,12,30,2,40.0,77000,0,,бульвар Красногорский,23к1,Мякинино,
23,ID 15779776,realtor,https://www.cian.ru/rent/flat/307114773/,Москва,rent,flat,1,4,2,42.0,55000,0,Кунцево, Новорублевская,6,Мякинино,
24,ПОЙМА24 РУ,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/307036278/,Москва,rent,flat,13,23,2,70.0,95000,0,, Спасская,1к2,Мякинино,
25,Манхэттен эстейт,real_estate_agent,https://krasnogorsk.cian.ru/rent/flat/306936016/,Москва,rent,flat,25,33,2,64.0,75000,0,, Липовой Рощи,1к3,Мякинино,
26,ID 16853695,homeowner,https://krasnogorsk.cian.ru/rent/flat/306401180/,Москва,rent,flat,13,23,2,71.0,95000,0,, Спасская,1к2,Мякинино,
27,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/306400299/,Москва,rent,flat,11,16,2,54.0,65000,0,Строгино,Неманский проезд,1к1,Мякинино,
