,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,ID 19371888,homeowner,https://www.cian.ru/rent/flat/307721036/,Москва,rent,flat,29,33,2,55.0,100000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Нагатинская,
1,Сорин Мокану,realtor,https://www.cian.ru/rent/flat/307672535/,Москва,rent,flat,11,25,2,53.0,110000,0,Нагорный,Электролитный проезд,16к7,Нагатинская,
2,ID 94299412,unknown,https://www.cian.ru/rent/flat/307670392/,Москва,rent,flat,22,27,2,42.0,130000,0,Нагорный,Электролитный проезд,7,Нагатинская,
3,ID 182291,real_estate_agent,https://www.cian.ru/rent/flat/307664637/,Москва,rent,flat,10,24,2,50.0,140000,0,Донской,Новоданиловская набережная,8к2,Нагатинская,
4,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307660487/,Москва,rent,flat,26,33,2,43.0,90000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Нагатинская,
5,Дмитрий Симакин,realtor,https://www.cian.ru/rent/flat/307635515/,Москва,rent,flat,12,20,2,71.9,97000,0,Нагатино-Садовники,Нагатинская набережная,14К1,Нагатинская,
6,Наталья Тен,realtor,https://www.cian.ru/rent/flat/307635452/,Москва,rent,flat,11,27,2,42.0,120000,0,Нагорный,Электролитный проезд,7,Нагатинская,
7,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307605787/,Москва,rent,flat,24,33,2,54.0,100000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Нагатинская,
8,Империя недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307548470/,Москва,rent,flat,7,24,2,35.0,95000,0,Донской,Новоданиловская набережная,8к2,Нагатинская,
9,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307541244/,Москва,rent,flat,14,24,2,75.0,165000,0,Нагорный,Электролитный проезд,16к7,Нагатинская,
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307525564/,Москва,rent,flat,2,25,2,56.0,110000,0,Нагорный,Электролитный проезд,16к3,Нагатинская,
11,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307519376/,Москва,rent,flat,2,25,2,60.0,110000,0,Нагорный,Электролитный проезд,16к3,Нагатинская,
12,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307499955/,Москва,rent,flat,2,25,2,60.0,110000,0,Нагорный,Электролитный проезд,16к3,Нагатинская,
13,Заур Саймаев,realtor,https://www.cian.ru/rent/flat/307495714/,Москва,rent,flat,2,25,2,56.4,110000,0,Нагорный,Электролитный проезд,16к3,Нагатинская,
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307393872/,Москва,rent,flat,6,12,2,40.0,90000,0,Нагатино-Садовники,Нагатинская ,11К1,Нагатинская,
15,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307382797/,Москва,rent,flat,1,7,2,66.0,90000,0,Котловка,Нагорная ,7К1,Нагатинская,
16,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307366998/,Москва,rent,flat,1,8,2,70.0,90000,0,Котловка,Нагорная ,7К1,Нагатинская,
17,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/307280676/,Москва,rent,flat,19,24,2,60.0,180000,0,Донской,Новоданиловская набережная,8к2,Нагатинская,
18,UINVEST,real_estate_agent,https://www.cian.ru/rent/flat/307209793/,Москва,rent,flat,8,24,2,40.0,110000,0,Донской,,к2,Нагатинская,Новоданиловская 8 ЖК
19,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307202116/,Москва,rent,flat,2,24,2,55.0,150000,0,Донской,,к3,Нагатинская,Новоданиловская 8 ЖК
20,Холдинг Профи,real_estate_agent,https://www.cian.ru/rent/flat/307185140/,Москва,rent,flat,7,24,2,52.0,189999,0,Донской,Новоданиловская набережная,8к2,Нагатинская,
21,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/306942168/,Москва,rent,flat,10,24,2,65.0,160000,0,Донской,Новоданиловская набережная,8к2,Нагатинская,
22,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/306818185/,Москва,rent,flat,1,24,2,55.0,150000,0,Донской,,к3,Нагатинская,Новоданиловская 8 ЖК
23,Замоскворечье Жилая Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306736643/,Москва,rent,flat,9,20,2,44.0,90000,0,Нагатино-Садовники,Нагатинская набережная,14К1,Нагатинская,
24,Хозяин Сервис,real_estate_agent,https://www.cian.ru/rent/flat/306709121/,Москва,rent,flat,2,24,2,40.0,110000,0,Донской,Новоданиловская набережная,8к2,Нагатинская,
25,ID 5216,real_estate_agent,https://www.cian.ru/rent/flat/306709102/,Москва,rent,flat,3,33,2,73.0,110000,0,Нагатино-Садовники,1-й Нагатинский проезд,11к2,Нагатинская,
26,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/306511942/,Москва,rent,flat,12,24,2,40.0,99999,0,Донской,Новоданиловская набережная,8к2,Нагатинская,
27,ID 110035555,realtor,https://www.cian.ru/rent/flat/306309040/,Москва,rent,flat,21,26,2,35.0,115000,0,Нагорный,Электролитный проезд,7,Нагатинская,
28,ID 182291,real_estate_agent,https://www.cian.ru/rent/flat/302793129/,Москва,rent,flat,10,24,2,50.0,140000,0,Донской,Новоданиловская набережная,8,Нагатинская,
29,ID 81212274,realtor,https://www.cian.ru/rent/flat/293502777/,Москва,rent,flat,15,20,2,70.0,95000,0,Нагатино-Садовники,Нагатинская набережная,10к3,Нагатинская,
30,Адалят Алиев,realtor,https://www.cian.ru/rent/flat/290444807/,Москва,rent,flat,15,24,2,58.0,95000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Нагатинская,
31,Ольга Загороднева,realtor,https://www.cian.ru/rent/flat/284112595/,Москва,rent,flat,14,20,2,44.2,80000,0,Нагатино-Садовники,Нагатинская набережная,10к3,Нагатинская,
32,ID 94841363,homeowner,https://www.cian.ru/rent/flat/277336910/,Москва,rent,flat,18,33,2,60.0,100000,0,Нагатино-Садовники,1-й Нагатинский проезд,11к3,Нагатинская,
33,ID 298055,unknown,https://www.cian.ru/rent/flat/267544919/,Москва,rent,flat,17,25,2,60.2,95000,0,Нагорный,Электролитный проезд,16к3,Нагатинская,
34,Столичный квартал,real_estate_agent,https://www.cian.ru/rent/flat/222881563/,Москва,rent,flat,21,25,2,60.0,80000,0,Нагорный,Электролитный проезд,16к3,Нагатинская,
35,ID 27650,realtor,https://www.cian.ru/rent/flat/164649262/,Москва,rent,flat,5,8,2,60.0,80000,0,Донской,Варшавское шоссе,10К1,Нагатинская,
36,Александр Долгов,realtor,https://www.cian.ru/rent/flat/277797504/,Москва,rent,flat,4,5,2,43.0,65000,0,Нагорный,Варшавское шоссе,52/2,Нахимовский проспект,
37,Любовь Черемисина,realtor,https://www.cian.ru/rent/flat/307413398/,Москва,rent,flat,2,9,2,50.0,80000,0,Даниловский,Мытная ,62,Тульская,
38,ID 40430859,homeowner,https://www.cian.ru/rent/flat/271620360/,Москва,rent,flat,6,16,2,54.0,89000,0,Даниловский,Большая Тульская ,2,Тульская,
