,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307747352/,Москва,rent,flat,4,5,1,20.0,49000,0,Марфино,Гостиничный проезд,6К2,Окружная,
1,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307744417/,Москва,rent,flat,23,33,1,44.0,100000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
2,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740401/,Москва,rent,flat,16,19,1,30.0,75000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
3,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307722608/,Москва,rent,flat,24,33,1,39.0,90000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
4,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307722531/,Москва,rent,flat,16,19,1,30.0,80000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
5,Адельфа,real_estate_agent,https://www.cian.ru/rent/flat/307721791/,Москва,rent,flat,4,33,1,33.0,79999,0,Западное Дегунино, Летчика Осканова,6,Окружная,
6,ID 81319143,unknown,https://www.cian.ru/rent/flat/307721204/,Москва,rent,flat,23,33,1,44.0,95000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
7,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307720910/,Москва,rent,flat,5,5,1,35.0,59000,0,Коптево,3-й Новомихалковский проезд,3,Окружная,
8,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307707045/,Москва,rent,flat,4,9,1,33.0,42000,0,Коптево,Большая Академическая ,77К1,Окружная,
9,ID 19660,realtor,https://www.cian.ru/rent/flat/307701048/,Москва,rent,flat,6,33,1,45.0,85000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
10,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307699314/,Москва,rent,flat,4,33,1,35.0,79999,0,Западное Дегунино, Летчика Осканова,6,Окружная,
11,ID 54546758,homeowner,https://www.cian.ru/rent/flat/307681552/,Москва,rent,flat,5,5,1,35.0,60000,0,Тимирязевский, Линии Октябрьской Железной Дороги,12,Окружная,
12,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307677054/,Москва,rent,flat,2,22,1,43.0,90000,0,Отрадное,Нововладыкинский проезд,1к3,Окружная,
13,Александр Каширский,realtor,https://www.cian.ru/rent/flat/307672922/,Москва,rent,flat,7,19,1,34.0,70000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
14,Михаил Иванов,realtor,https://www.cian.ru/rent/flat/307664977/,Москва,rent,flat,15,16,1,40.0,58000,0,Марфино,Ботаническая ,33К8,Окружная,
15,СДЕЛКА,real_estate_agent,https://www.cian.ru/rent/flat/307663950/,Москва,rent,flat,9,14,1,21.0,50000,0,Марфино,Ботаническая ,33Вс1,Окружная,
16,ID 313706,realtor,https://www.cian.ru/rent/flat/307658760/,Москва,rent,flat,17,33,1,46.0,100000,0,Западное Дегунино, Летчика Осканова,6,Окружная,
17,ID 69398662,unknown,https://www.cian.ru/rent/flat/307636823/,Москва,rent,flat,4,9,1,33.0,50000,0,Марфино, Комдива Орлова,10,Окружная,
