,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Замоскворечье,real_estate_agent,https://kotelniki.cian.ru/rent/flat/307500088/,Москва,rent,flat,12,16,3,68.0,90000,0,,,27,Панки,
1,ID 121801119,homeowner,https://lyubertsy.cian.ru/rent/flat/307357566/,Москва,rent,flat,4,25,3,65.0,70000,0,, Рождественская,4,Панки,
2,Марина Гильманшина,realtor,https://lyubertsy.cian.ru/rent/flat/307057381/,Москва,rent,flat,8,18,3,78.0,75000,0,, Рождественская,8,Панки,
3,Юлия Вашура,realtor,https://lyubertsy.cian.ru/rent/flat/306976987/,Москва,rent,flat,5,24,3,90.0,59999,0,, Рождественская,10,Панки,
4,ID 22934,real_estate_agent,https://dzerzhinsky.cian.ru/rent/flat/292442857/,Москва,rent,flat,6,18,3,135.0,95000,0,,Угрешская ,32,Панки,
5,Галина Федоровна,realtor,https://www.cian.ru/rent/flat/219115447/,Москва,rent,flat,11,14,3,82.0,65000,0,Некрасовка,1-я Вольская ,12к1,Панки,
6,ID 89414531,realtor,https://lyubertsy.cian.ru/rent/flat/307677321/,Москва,rent,flat,2,18,2,54.9,60000,0,, Юности,7,Лухмановская,
7,Анастасия Васильева,realtor,https://lyubertsy.cian.ru/rent/flat/285253344/,Москва,rent,flat,2,25,1,25.0,45000,0,,,4.1,Котельники,Жулебино Парк ЖК
8,Мой Дом - отделение Добрынинское,real_estate_agent,https://kotelniki.cian.ru/rent/flat/307716220/,Москва,rent,flat,5,19,2,42.0,45000,0,, Сосновая,1к2,Котельники,
9,Вера Закуткина,realtor,https://lyubertsy.cian.ru/rent/flat/307660841/,Москва,rent,flat,15,17,2,64.0,50000,0,, Кирова,5,Жулебино,
10,CENTURY 21 Перспектива,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/305420320/,Москва,rent,flat,14,17,3,80.0,65000,0,, 3-е Почтовое Отделение,9,Люберцы,
11,ID 98734857,realtor,https://lyubertsy.cian.ru/rent/flat/307654008/,Москва,rent,flat,3,5,2,44.2,45000,0,, Кирова,41,Люберцы,
12,ID 55724848,unknown,https://kotelniki.cian.ru/rent/flat/307712324/,Москва,rent,flat,23,26,2,58.0,55000,0,,,2,Панки,
13,ID 53005653,realtor,https://lyubertsy.cian.ru/rent/flat/306181098/,Москва,rent,flat,2,5,2,39.5,45000,0,, 3-е Почтовое Отделение,24,Котельники,
14,SRG,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/227760381/,Москва,rent,flat,7,17,2,53.4,53000,0,, Барыкина,2,Некрасовка,
15,EMPIRE HOME,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307635884/,Москва,rent,flat,10,17,2,35.0,55000,0,, Озерная,2,Некрасовка,
16,ID 95802747,homeowner,https://lyubertsy.cian.ru/rent/flat/278189315/,Москва,rent,flat,21,25,1,34.0,55000,0,, Летчика Ларюшина,12,Котельники,
17,Ирина Григорьева,realtor,https://lyubertsy.cian.ru/rent/flat/307370113/,Москва,rent,flat,11,25,1,30.0,45000,0,, Летчика Ларюшина,2,Котельники,
18,Столичный Проспект,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/306865061/,Москва,rent,flat,7,27,2,56.0,45000,0,,проспект Победы,16к2,Панки,
19,Наталия Овчинникова,realtor,https://kotelniki.cian.ru/rent/flat/307652216/,Москва,rent,flat,5,25,2,44.0,55000,0,,,1к21,Котельники,
20,ID 11661364,realtor,https://lyubertsy.cian.ru/rent/flat/307725768/,Москва,rent,flat,6,22,1,37.3,55000,0,, Кирова,9к1,Жулебино,
21,Анастасия Васильева,realtor,https://lyubertsy.cian.ru/rent/flat/307415695/,Москва,rent,flat,7,26,2,37.5,65000,0,, Летчика Ларюшина,18,Котельники,
22,ID 32266,realtor,https://lyubertsy.cian.ru/rent/flat/307294394/,Москва,rent,flat,11,14,2,71.0,53000,0,, Авиаторов,2к1,Котельники,
23,ПИК-Аренда,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307221129/,Москва,rent,flat,3,25,2,35.3,55000,0,, 8 Марта,12к2,Ухтомская,
24,ID 443788,realtor,https://lyubertsy.cian.ru/rent/flat/307631504/,Москва,rent,flat,7,10,2,96.0,53900,0,,Октябрьский проспект,373к9,Панки,
