,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Варвара Молчанова,realtor,https://www.cian.ru/rent/flat/307659685/,Москва,rent,flat,12,12,2,38.0,79000,0,Тимирязевский,Дмитровское шоссе,57К2,Петровско-Разумовская,
1,Ольга Малинина,realtor,https://www.cian.ru/rent/flat/307490143/,Москва,rent,flat,9,18,2,82.6,90000,0,Коптево,Большая Академическая ,67,Петровско-Разумовская,
2,ID 12807549,unknown,https://www.cian.ru/rent/flat/307056032/,Москва,rent,flat,6,9,2,38.0,68000,0,Тимирязевский, Линии Октябрьской Железной Дороги,6А,Петровско-Разумовская,
3,Елена Иванова,realtor,https://www.cian.ru/rent/flat/306372495/,Москва,rent,flat,4,9,2,50.0,70000,0,Тимирязевский,Дмитровское шоссе,33К1,Петровско-Разумовская,
4,Вячеслав Гордеев,realtor,https://www.cian.ru/rent/flat/307631791/,Москва,rent,flat,1,5,2,45.0,65000,0,Тверской,Угловой переулок,21,Савёловская,
5,Азбука Жилья Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307584262/,Москва,rent,flat,6,12,2,38.0,65000,0,Алексеевский,Новоалексеевская ,4К2,Алексеевская,
6,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
7,Манхэттен эстейт,real_estate_agent,https://www.cian.ru/rent/flat/307394020/,Москва,rent,flat,2,18,2,58.3,60000,0,Бескудниковский,Бескудниковский бульвар,13,Верхние Лихоборы,
8,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307454901/,Москва,rent,flat,5,12,2,48.0,60000,0,Марьина роща, 4-я Марьиной рощи,6,Марьина Роща,
9,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307576555/,Москва,rent,flat,4,5,2,46.0,80000,0,Тверской,Новосущевская ,14,Достоевская,
10,Вадим Волков,realtor,https://www.cian.ru/rent/flat/285230568/,Москва,rent,flat,6,9,2,37.0,67000,0,Тверской,Перуновский переулок,4-8,Менделеевская,
11,Золотой ключ,real_estate_agent,https://www.cian.ru/rent/flat/307534474/,Москва,rent,flat,11,12,2,38.0,70000,0,Мещанский,Капельский переулок,3,Проспект Мира,
12,ID 102783120,homeowner,https://www.cian.ru/rent/flat/307680502/,Москва,rent,flat,3,14,2,53.0,85000,0,Савеловский,4-й Вятский переулок,18К2,Дмитровская,
13,Евгений Горновой,realtor,https://www.cian.ru/rent/flat/307543322/,Москва,rent,flat,5,9,2,43.0,60000,0,Бибирево, Лескова,6А,Алтуфьево,
14,ID 25045714,unknown,https://www.cian.ru/rent/flat/281522012/,Москва,rent,flat,8,9,3,61.3,80000,0,Тимирязевский,Астрадамская ,4,Дмитровская,
15,Илья Солдатенков,realtor,https://www.cian.ru/rent/flat/196194658/,Москва,rent,flat,14,17,2,54.0,75000,0,Алексеевский,3-я Мытищинская ,3к2,Алексеевская,
16,Оксана Оксименко,realtor,https://www.cian.ru/rent/flat/245122430/,Москва,rent,flat,8,9,2,45.0,77000,0,Останкинский,проспект Мира,97,Алексеевская,
17,ID 76442518,unknown,https://www.cian.ru/rent/flat/279449684/,Москва,rent,flat,6,14,2,47.0,70000,0,Преображенское,Халтуринская ,4К2,Преображенская площадь,
18,Сергей Зилотов,realtor,https://www.cian.ru/rent/flat/307564321/,Москва,rent,flat,1,5,2,45.0,65000,0,Савеловский, 1-я Бебеля,3,Петровский Парк,
19,Елена Мойса,realtor,https://www.cian.ru/rent/flat/242651088/,Москва,rent,flat,12,17,2,52.0,70000,0,Восточное Дегунино,Дубнинская ,13,Верхние Лихоборы,
20,GIGGRAD,real_estate_agent,https://www.cian.ru/rent/flat/307490024/,Москва,rent,flat,2,9,2,46.0,78000,0,Аэропорт,Красноармейская ,25,Аэропорт,
21,ID 122006073,homeowner,https://www.cian.ru/rent/flat/307572528/,Москва,rent,flat,11,12,2,38.0,89000,0,Алексеевский,Ярославская ,4К1,ВДНХ,
22,I AM ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307637562/,Москва,rent,flat,2,5,3,75.0,85000,0,Тимирязевский,Астрадамская ,1К3,Гражданская,
23,ID 23945235,homeowner,https://www.cian.ru/rent/flat/301087690/,Москва,rent,flat,3,9,2,44.0,70000,0,Восточное Дегунино, 800-летия Москвы,11К7,Бескудниково,
24,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306679176/,Москва,rent,flat,8,10,2,38.0,80000,0,Савеловский,Петровско-Разумовский проезд,5,Петровский Парк,
