,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307775084/,Москва,rent,flat,7,9,2,51.0,80000,0,, Малое Понизовье,3,Прокшино,
1,ID 24441,realtor,https://www.cian.ru/rent/flat/307759033/,Москва,rent,flat,8,19,2,61.0,90000,0,,проспект Прокшинский,9,Прокшино,
2,ID 95867487,homeowner,https://www.cian.ru/rent/flat/307726532/,Москва,rent,flat,7,9,2,51.0,80000,0,, Малое Понизовье,3,Прокшино,
3,ID 105002872,homeowner,https://www.cian.ru/rent/flat/307711326/,Москва,rent,flat,6,23,2,52.0,80000,0,, Большое Понизовье,1,Прокшино,
4,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307703652/,Москва,rent,flat,6,17,2,52.0,73000,0,, Малое Понизовье,9к3,Прокшино,
5,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307700376/,Москва,rent,flat,1,25,2,47.0,68000,0,, Фитаревская,15к1,Прокшино,
6,Алена Рудова,realtor,https://www.cian.ru/rent/flat/307693619/,Москва,rent,flat,2,10,2,36.0,65000,0,, Малое Понизовье,10,Прокшино,
7,Maroom,real_estate_agent,https://www.cian.ru/rent/flat/307658419/,Москва,rent,flat,15,15,2,64.2,75000,0,,бульвар Веласкеса,1к1,Прокшино,
8,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307647761/,Москва,rent,flat,6,10,2,38.0,45000,0,, Усадебный Парк,1,Прокшино,
9,ID 50084532,unknown,https://www.cian.ru/rent/flat/307639147/,Москва,rent,flat,6,8,2,71.0,160000,0,, Малое Понизовье,3,Прокшино,
10,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307637002/,Москва,rent,flat,8,9,2,58.0,90000,0,, Николо-Хованская,14,Прокшино,
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307636927/,Москва,rent,flat,12,24,2,45.0,85000,0,, Лобановский Лес,13,Прокшино,
12,ID 77735648,homeowner,https://www.cian.ru/rent/flat/307636606/,Москва,rent,flat,8,9,2,53.1,90000,0,, Николо-Хованская,14,Прокшино,
13,ID 58022400,homeowner,https://www.cian.ru/rent/flat/307615780/,Москва,rent,flat,12,12,2,65.0,75000,0,, Харлампиева,48к1,Прокшино,
14,ID 79394214,unknown,https://www.cian.ru/rent/flat/307601089/,Москва,rent,flat,1,9,2,54.0,70000,0,, Харлампиева,42,Прокшино,
15,ID 48286785,realtor,https://www.cian.ru/rent/flat/307590051/,Москва,rent,flat,15,18,2,51.0,78000,0,, Красулинская,20,Прокшино,
16,Александр Бялик,realtor,https://www.cian.ru/rent/flat/307586691/,Москва,rent,flat,3,4,2,54.0,55000,0,, Жемчужная,1к2,Прокшино,
17,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307574867/,Москва,rent,flat,5,12,2,40.0,94000,0,, Лобановский Лес,11,Прокшино,
18,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307546274/,Москва,rent,flat,9,18,2,49.4,99500,0,, Саларьевская,15к1,Прокшино,
19,Екатерина Тарасенко,realtor,https://www.cian.ru/rent/flat/307531733/,Москва,rent,flat,12,12,2,42.0,80000,0,,проспект Магеллана,4,Прокшино,
20,Петр Георгиевич Павленко,realtor,https://www.cian.ru/rent/flat/307514182/,Москва,rent,flat,4,4,2,55.0,75000,0,, Жемчужная,1к21,Прокшино,
21,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307488532/,Москва,rent,flat,3,17,2,79.0,75000,0,, Лазурная,14,Прокшино,
22,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307484151/,Москва,rent,flat,1,3,2,79.0,60000,0,, Березовая,7к1,Прокшино,
23,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/307480931/,Москва,rent,flat,18,18,2,52.9,85000,0,,проспект Прокшинский,11,Прокшино,
24,Михаил Мальцев,realtor,https://www.cian.ru/rent/flat/307414557/,Москва,rent,flat,5,12,2,47.0,60000,0,, Лазурная,11,Прокшино,
25,Елена Каврыженко,realtor,https://www.cian.ru/rent/flat/307409102/,Москва,rent,flat,2,19,2,66.0,80000,0,, Лазурная,14,Прокшино,
26,Jcat,real_estate_agent,https://www.cian.ru/rent/flat/307400190/,Москва,rent,flat,4,17,2,59.3,87000,0,,проспект Магеллана,2,Прокшино,
27,ID 18820673,homeowner,https://www.cian.ru/rent/flat/307390063/,Москва,rent,flat,6,14,2,72.0,80000,0,,проспект Магеллана,4,Прокшино,
28,СИТИМ,real_estate_agent,https://www.cian.ru/rent/flat/307355781/,Москва,rent,flat,11,15,2,39.7,70000,0,,,6к5,Прокшино,Прокшино ЖК
29,Алёна Иванова,realtor,https://www.cian.ru/rent/flat/307255363/,Москва,rent,flat,3,16,2,74.0,105000,0,,проспект Магеллана,2,Прокшино,
30,OPN PARTNER,real_estate_agent,https://www.cian.ru/rent/flat/307183989/,Москва,rent,flat,4,6,2,56.0,75000,0,, Жемчужная,1к11,Прокшино,
31,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307139307/,Москва,rent,flat,9,15,2,40.0,80000,0,,проспект Магеллана,4,Прокшино,
32,ID 89346248,homeowner,https://www.cian.ru/rent/flat/307069239/,Москва,rent,flat,9,10,2,40.0,80000,0,,проспект Магеллана,4,Прокшино,
