,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307474748/,Москва,rent,flat,16,33,2,50.0,92000,0,Левобережный,Смольная ,49,Речной вокзал,
1,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307453259/,Москва,rent,flat,8,29,2,55.0,155000,0,Головинский,Пулковская ,2,Речной вокзал,
2,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307441755/,Москва,rent,flat,3,29,2,56.0,140000,0,Головинский,Пулковская ,2,Речной вокзал,
3,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/307438362/,Москва,rent,flat,20,22,2,78.0,200000,0,Левобережный,Ленинградское шоссе,69к2,Речной вокзал,
4,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307438027/,Москва,rent,flat,8,29,2,55.0,155000,0,Головинский,Пулковская ,2,Речной вокзал,
5,Liberty Estate,real_estate_agent,https://www.cian.ru/rent/flat/307424362/,Москва,rent,flat,5,20,2,40.0,150000,0,Левобережный,Ленинградское шоссе,69к3,Речной вокзал,
6,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307393996/,Москва,rent,flat,15,20,2,58.0,200000,0,Левобережный,,В3,Речной вокзал,Акватория ЖК
7,Алла Иванова,realtor,https://www.cian.ru/rent/flat/307391868/,Москва,rent,flat,14,32,2,60.0,130000,0,Головинский,Кронштадтский бульвар,9к2,Речной вокзал,
8,НейроДВИЖимость,real_estate_agent,https://www.cian.ru/rent/flat/307385266/,Москва,rent,flat,1,14,2,52.0,75000,0,Головинский,Конаковский проезд,12К1,Речной вокзал,
9,Светлана Матасова,realtor,https://www.cian.ru/rent/flat/307381413/,Москва,rent,flat,30,32,2,42.3,100000,0,Головинский,Кронштадтский бульвар,9к2,Речной вокзал,
10,ЦЕНТР НЕДВИЖИМОСТИ,real_estate_agent,https://www.cian.ru/rent/flat/307368908/,Москва,rent,flat,8,17,2,40.0,120000,0,Левобережный,Смольная ,44к1,Речной вокзал,
11,ID 84332506,homeowner,https://www.cian.ru/rent/flat/307355949/,Москва,rent,flat,18,25,2,54.6,95000,0,Левобережный,Смольная ,57К1,Речной вокзал,
12,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307345616/,Москва,rent,flat,8,29,2,60.0,155000,0,Головинский,Пулковская ,2,Речной вокзал,
13,ID 93983385,homeowner,https://www.cian.ru/rent/flat/307345529/,Москва,rent,flat,1,9,2,40.0,65000,0,Левобережный,Ленинградское шоссе,112к3,Речной вокзал,
14,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307343071/,Москва,rent,flat,3,29,2,54.0,170000,0,Головинский,Пулковская ,2,Речной вокзал,
15,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307261087/,Москва,rent,flat,5,22,2,54.0,150000,0,Левобережный,Ленинградское шоссе,69к2,Речной вокзал,
16,ID 15135697,homeowner,https://www.cian.ru/rent/flat/307223444/,Москва,rent,flat,8,29,2,55.0,155000,0,Головинский,Пулковская ,2,Речной вокзал,
17,ID 234494,unknown,https://www.cian.ru/rent/flat/307220669/,Москва,rent,flat,10,21,2,42.0,100000,0,Головинский,Кронштадтский бульвар,9к3,Речной вокзал,
18,ID 485069,realtor,https://www.cian.ru/rent/flat/307199437/,Москва,rent,flat,10,32,2,38.0,90000,0,Головинский,Кронштадтский бульвар,9к4,Речной вокзал,
19,Самолет Плюс,real_estate_agent,https://www.cian.ru/rent/flat/307188859/,Москва,rent,flat,7,29,2,68.5,180000,0,Головинский,Пулковская ,2,Речной вокзал,
20,Мария Чугрина,realtor,https://www.cian.ru/rent/flat/307181907/,Москва,rent,flat,6,9,2,38.0,80000,0,Левобережный,Фестивальная ,11,Речной вокзал,
21,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307125775/,Москва,rent,flat,11,35,2,78.0,180000,0,Левобережный,Фестивальная ,15К4,Речной вокзал,
22,ID 60647538,unknown,https://www.cian.ru/rent/flat/307099627/,Москва,rent,flat,3,5,2,45.0,55000,0,Головинский,Смольная ,17,Речной вокзал,
23,ID 116193453,homeowner,https://www.cian.ru/rent/flat/307091471/,Москва,rent,flat,10,12,2,52.0,75000,0,Левобережный,Беломорская ,26,Речной вокзал,
24,Екатерина Орлова,realtor,https://www.cian.ru/rent/flat/307086632/,Москва,rent,flat,4,26,2,43.0,70000,0,Головинский,Кронштадтский бульвар,6к3,Речной вокзал,
25,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/306989778/,Москва,rent,flat,3,5,2,56.0,100000,0,Ховрино, Ляпидевского,10,Речной вокзал,
26,Бест на Речном,real_estate_agent,https://www.cian.ru/rent/flat/306890285/,Москва,rent,flat,2,9,2,56.0,70000,0,Головинский,Ленинградское шоссе,78,Речной вокзал,
27,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/306800260/,Москва,rent,flat,8,17,2,53.5,95000,0,Левобережный,Валдайский проезд,9АК1,Речной вокзал,
