,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307747288/,Москва,rent,flat,1,22,2,46.0,70000,0,,Родниковая ,30к1,Саларьево,
1,ID 332295,realtor,https://www.cian.ru/rent/flat/307728701/,Москва,rent,flat,15,15,2,70.0,85000,0,, Саларьевская,14к2,Саларьево,
2,ID 95867487,homeowner,https://www.cian.ru/rent/flat/307726532/,Москва,rent,flat,7,9,2,51.0,80000,0,, Малое Понизовье,3,Саларьево,
3,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307724875/,Москва,rent,flat,2,25,2,65.0,80000,0,,Родниковая ,30к3,Саларьево,
4,ID 105002872,homeowner,https://www.cian.ru/rent/flat/307711326/,Москва,rent,flat,6,23,2,52.0,80000,0,, Большое Понизовье,1,Саларьево,
5,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307703652/,Москва,rent,flat,6,17,2,52.0,73000,0,, Малое Понизовье,9к3,Саларьево,
6,Алена Рудова,realtor,https://www.cian.ru/rent/flat/307693619/,Москва,rent,flat,2,10,2,36.0,65000,0,, Малое Понизовье,10,Саларьево,
7,ID 122124348,homeowner,https://www.cian.ru/rent/flat/307684224/,Москва,rent,flat,16,17,2,57.0,95000,0,,Родниковая ,30к1,Саларьево,
8,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307673589/,Москва,rent,flat,15,15,2,60.0,75000,0,, Саларьевская,14к2,Саларьево,
9,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307665706/,Москва,rent,flat,14,15,2,42.0,80000,0,, Саларьевская,9,Саларьево,
10,Вероника Брагинская,realtor,https://www.cian.ru/rent/flat/307662845/,Москва,rent,flat,2,16,2,43.0,80000,0,,,5с1,Саларьево,
11,ID 12383328,realtor,https://www.cian.ru/rent/flat/307659419/,Москва,rent,flat,5,10,2,50.0,120000,0,, Инженера Кнорре,7к1,Саларьево,
12,ID 50084532,unknown,https://www.cian.ru/rent/flat/307639147/,Москва,rent,flat,6,8,2,71.0,160000,0,, Малое Понизовье,3,Саларьево,
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307636927/,Москва,rent,flat,12,24,2,45.0,85000,0,, Лобановский Лес,13,Саларьево,
14,ID 58022400,homeowner,https://www.cian.ru/rent/flat/307615780/,Москва,rent,flat,12,12,2,65.0,75000,0,, Харлампиева,48к1,Саларьево,
