,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307740698/,Москва,rent,flat,3,12,1,33.0,65000,0,Тимирязевский,Дмитровский проезд,18,Тимирязевская,
1,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307740508/,Москва,rent,flat,12,28,1,29.0,98000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская,
2,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307685708/,Москва,rent,flat,52,59,1,40.0,150000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская,
3,ID 83958027,unknown,https://www.cian.ru/rent/flat/307676621/,Москва,rent,flat,3,5,1,33.0,55000,0,Тимирязевский,Астрадамская ,5А,Тимирязевская,
4,МГН-495,real_estate_agent,https://www.cian.ru/rent/flat/307649731/,Москва,rent,flat,3,16,1,38.0,60000,0,Бутырский, Яблочкова,43А,Тимирязевская,
5,ID 122068143,realtor,https://www.cian.ru/rent/flat/307626016/,Москва,rent,flat,9,9,1,33.0,60000,0,Тимирязевский,Тимирязевская ,9,Тимирязевская,
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605462/,Москва,rent,flat,1,5,1,31.0,50000,0,Тимирязевский,Астрадамская ,1К2,Тимирязевская,
7,Олимп плюс,real_estate_agent,https://www.cian.ru/rent/flat/307600224/,Москва,rent,flat,4,12,1,37.0,65000,0,Бутырский, Гончарова,5,Тимирязевская,
8,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307546050/,Москва,rent,flat,1,4,1,38.0,80000,0,Бутырский, Гончарова,13,Тимирязевская,
9,Алена Парвицкая,realtor,https://www.cian.ru/rent/flat/307530829/,Москва,rent,flat,36,58,1,40.0,125000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская,
10,Альянс-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307500439/,Москва,rent,flat,7,9,1,38.0,60000,0,Тимирязевский,Дмитровское шоссе,35К1,Тимирязевская,
11,ID 50705217,homeowner,https://www.cian.ru/rent/flat/307322711/,Москва,rent,flat,12,12,1,35.2,85000,0,Тимирязевский, Вучетича,19,Тимирязевская,
12,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307260751/,Москва,rent,flat,2,12,1,39.0,65000,0,Тимирязевский,Красностуденческий проезд,21,Тимирязевская,
13,ID 89986184,unknown,https://www.cian.ru/rent/flat/307056050/,Москва,rent,flat,1,14,1,35.0,48000,0,Тимирязевский,Дмитровское шоссе,45К2,Тимирязевская,
14,ID 57419552,homeowner,https://www.cian.ru/rent/flat/246141971/,Москва,rent,flat,2,12,1,39.0,70000,0,Тимирязевский,Красностуденческий проезд,21,Тимирязевская,
15,ID 61971563,homeowner,https://www.cian.ru/rent/flat/307458356/,Москва,rent,flat,3,22,1,40.0,65000,0,Алексеевский,Староалексеевская ,3,Алексеевская,
16,Вячеслав Гордеев,realtor,https://www.cian.ru/rent/flat/307631791/,Москва,rent,flat,1,5,2,45.0,65000,0,Тверской,Угловой переулок,21,Савёловская,
17,Азбука Жилья Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307584262/,Москва,rent,flat,6,12,2,38.0,65000,0,Алексеевский,Новоалексеевская ,4К2,Алексеевская,
18,ID 11630609,homeowner,https://www.cian.ru/rent/flat/299551839/,Москва,rent,flat,1,5,1,31.0,70000,0,Марьина роща, Сущевский Вал,67,Марьина Роща,
19,ID 122008115,realtor,https://www.cian.ru/rent/flat/307575538/,Москва,rent,flat,1,6,1,42.3,55000,0,Марьина роща,площадь Борьбы,13,Достоевская,
20,ID 15595424,homeowner,https://www.cian.ru/rent/flat/307504251/,Москва,rent,flat,14,33,2,42.0,65000,0,Отрадное,,1.1,Владыкино,Сигнальный 16 ЖК
21,Александра Мирошниченко,realtor,https://www.cian.ru/rent/flat/305944367/,Москва,rent,flat,9,14,1,20.0,60000,0,Сокол,Балтийская ,15,Сокол,
22,СТОЛИЦА Департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307454901/,Москва,rent,flat,5,12,2,48.0,60000,0,Марьина роща, 4-я Марьиной рощи,6,Марьина Роща,
23,ID 36464867,homeowner,https://www.cian.ru/rent/flat/306696784/,Москва,rent,flat,10,17,1,38.5,55000,0,Бескудниковский,Бескудниковский бульвар,6К3,Верхние Лихоборы,
24,Вадим Волков,realtor,https://www.cian.ru/rent/flat/285230568/,Москва,rent,flat,6,9,2,37.0,67000,0,Тверской,Перуновский переулок,4-8,Менделеевская,
