,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Суламит-НГС,real_estate_agent,https://www.cian.ru/rent/flat/307741291/,Москва,rent,flat,2,9,1,33.0,70000,0,Даниловский, Шаболовка,63К1,Тульская,
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307676686/,Москва,rent,flat,4,4,1,26.0,110000,0,Даниловский,2-я Рощинская ,10,Тульская,
2,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307649879/,Москва,rent,flat,4,33,1,30.0,85000,0,Донской,,к3,Тульская,Новоданиловская 8 ЖК
3,ID 102999917,unknown,https://www.cian.ru/rent/flat/307627422/,Москва,rent,flat,12,16,1,46.0,90000,0,Даниловский,Автозаводская ,23С120,Тульская,
4,MFC Capital,real_estate_agent,https://www.cian.ru/rent/flat/307564438/,Москва,rent,flat,11,16,1,39.0,120000,0,Даниловский, Архитектора Щусева,4к2,Тульская,
5,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307546230/,Москва,rent,flat,4,9,1,35.0,60000,0,Даниловский,Дубининская ,65К3,Тульская,
6,Валерия Боголюбова,realtor,https://www.cian.ru/rent/flat/307542904/,Москва,rent,flat,8,8,1,37.0,120000,0,Даниловский, Архитектора Щусева,4к2,Тульская,
7,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307542818/,Москва,rent,flat,4,9,1,31.0,59990,0,Даниловский,Дубининская ,65К3,Тульская,
8,Елена Закора,realtor,https://www.cian.ru/rent/flat/307345481/,Москва,rent,flat,3,4,1,30.0,53000,0,Даниловский,Автозаводская ,23С928,Тульская,
9,,,https://www.cian.ru/rent/flat/307271653/,Москва,rent,flat,24,24,1,40.0,115000,0,Донской,Новоданиловская набережная,8к2,Тульская,
10,Инвестправо,real_estate_agent,https://www.cian.ru/rent/flat/307262630/,Москва,rent,flat,8,12,1,42.0,110000,0,Даниловский,3-й Павелецкий проезд,3,Тульская,
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307244140/,Москва,rent,flat,2,48,1,36.0,140000,0,Даниловский,Дубининская ,59А,Тульская,
12,Realtme,real_estate_agent,https://www.cian.ru/rent/flat/307133071/,Москва,rent,flat,6,11,1,35.0,90000,0,Донской,Духовской переулок,19,Тульская,
13,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/306974566/,Москва,rent,flat,7,9,1,40.0,120000,0,Даниловский, Шухова,17К1,Тульская,
14,ID 661323,unknown,https://www.cian.ru/rent/flat/306961524/,Москва,rent,flat,2,48,1,36.0,140000,0,Даниловский,Дубининская ,59А,Тульская,
15,Матвей Макуров,realtor,https://www.cian.ru/rent/flat/306796427/,Москва,rent,flat,8,9,1,32.0,75000,0,Донской, Шаболовка,32,Тульская,
16,ID 56546610,unknown,https://www.cian.ru/rent/flat/306790271/,Москва,rent,flat,6,9,1,40.0,110000,0,Донской,4-й Верхний Михайловский проезд,1,Тульская,
17,Delta estate,real_estate_agent,https://www.cian.ru/rent/flat/306780448/,Москва,rent,flat,2,2,1,33.0,115000,0,Даниловский,Холодильный переулок,2,Тульская,
18,White Lion,real_estate_agent,https://www.cian.ru/rent/flat/306691602/,Москва,rent,flat,15,16,1,25.0,65000,0,Даниловский,Автозаводская ,23С120,Тульская,
19,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306537910/,Москва,rent,flat,4,13,1,38.0,100000,0,Даниловский, Родченко,2,Тульская,
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306445067/,Москва,rent,flat,5,15,1,25.0,135000,0,Даниловский, Родченко,2,Тульская,
21,ID 59357686,unknown,https://www.cian.ru/rent/flat/306008718/,Москва,rent,flat,5,16,1,38.0,125000,0,Даниловский, Архитектора Щусева,5к1,Тульская,
22,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/305729980/,Москва,rent,flat,4,5,1,35.0,80000,0,Даниловский,Духовской переулок,20кБ,Тульская,
23,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/305534265/,Москва,rent,flat,7,8,1,41.0,100000,0,Даниловский,2-й Павелецкий проезд,5С1,Тульская,
24,ID 29738035,unknown,https://www.cian.ru/rent/flat/302853156/,Москва,rent,flat,6,14,1,35.9,70000,0,Даниловский,Дубининская ,84,Тульская,
25,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/299402503/,Москва,rent,flat,12,16,1,61.0,119999,0,Даниловский, Серпуховский Вал,21к1,Тульская,
26,ID 45422946,homeowner,https://www.cian.ru/rent/flat/298915868/,Москва,rent,flat,3,15,1,39.0,90000,0,Даниловский, Архитектора Щусева,1,Тульская,
27,ID 11170249,homeowner,https://www.cian.ru/rent/flat/295631578/,Москва,rent,flat,3,24,1,31.0,90000,0,Донской,,к3,Тульская,Новоданиловская 8 ЖК
28,ID 149789,realtor,https://www.cian.ru/rent/flat/294510562/,Москва,rent,flat,12,24,1,38.0,120000,0,Донской,,к2,Тульская,Новоданиловская 8 ЖК
29,White Lion,real_estate_agent,https://www.cian.ru/rent/flat/286685643/,Москва,rent,flat,14,15,1,25.0,70000,0,Даниловский,Автозаводская ,23С120,Тульская,
30,White Lion,real_estate_agent,https://www.cian.ru/rent/flat/285299740/,Москва,rent,flat,11,16,1,25.0,70000,0,Даниловский,Автозаводская ,23С120,Тульская,
31,ID 79857974,homeowner,https://www.cian.ru/rent/flat/284814483/,Москва,rent,flat,8,11,1,31.0,120000,0,Донской,Духовской переулок,19с2,Тульская,
32,Nakvartire,real_estate_agent,https://www.cian.ru/rent/flat/282116438/,Москва,rent,flat,12,16,1,22.0,74800,0,Даниловский,Автозаводская ,23С120,Тульская,
33,ID 21445372,homeowner,https://www.cian.ru/rent/flat/266227681/,Москва,rent,flat,5,12,1,37.0,130000,0,Даниловский,Холодильный переулок,4,Тульская,
34,ID 59357,realtor,https://www.cian.ru/rent/flat/245447371/,Москва,rent,flat,6,16,1,41.0,80000,0,Даниловский,Большая Тульская ,2,Тульская,
35,ID 53162893,realtor,https://www.cian.ru/rent/flat/240605830/,Москва,rent,flat,5,9,1,32.5,66000,0,Якиманка,Донская ,17,Шаболовская,
36,ID 23184073,homeowner,https://www.cian.ru/rent/flat/269988733/,Москва,rent,flat,20,25,1,35.0,85000,0,Филевский парк,Береговой проезд,5Ак7,Фили,
37,ID 69392442,homeowner,https://www.cian.ru/rent/flat/251955241/,Москва,rent,flat,6,8,1,40.0,80000,0,Басманный, Земляной Вал,39/1С1,Чкаловская,
38,ID 584903,homeowner,https://www.cian.ru/rent/flat/307286467/,Москва,rent,flat,5,14,1,32.0,95000,0,Даниловский,проспект Лихачева,16к4,Технопарк,
39,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307677528/,Москва,rent,flat,13,14,1,42.0,110000,0,Тверской,Лесная ,10-16,Белорусская,
40,Любовь Черемисина,realtor,https://www.cian.ru/rent/flat/307413398/,Москва,rent,flat,2,9,2,50.0,80000,0,Даниловский,Мытная ,62,Тульская,
41,ID 40430859,homeowner,https://www.cian.ru/rent/flat/271620360/,Москва,rent,flat,6,16,2,54.0,89000,0,Даниловский,Большая Тульская ,2,Тульская,
42,ЕВРОНЕДВИЖИМОСТЬ на Павелецкой,real_estate_agent,https://www.cian.ru/rent/flat/306459022/,Москва,rent,flat,18,24,1,41.0,85000,0,Нагорный,Электролитный проезд,7,Нагорная,
43,ID 277227,unknown,https://www.cian.ru/rent/flat/301320108/,Москва,rent,flat,10,10,2,38.0,100000,0,Даниловский,проспект Лихачева,12к3,Технопарк,
44,ID 8506,realtor,https://www.cian.ru/rent/flat/220405659/,Москва,rent,flat,14,16,1,36.0,65000,0,Котловка,Большая Черемушкинская ,9К2,Крымская,
45,ID 121850326,homeowner,https://www.cian.ru/rent/flat/307407001/,Москва,rent,flat,2,10,2,50.0,95000,0,Даниловский,Люсиновская ,53,Тульская,
46,Елена Закора,realtor,https://www.cian.ru/rent/flat/307525375/,Москва,rent,flat,4,5,2,45.0,75000,0,Даниловский,Автозаводская ,23К7,Тульская,
47,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307661928/,Москва,rent,flat,2,9,1,35.0,80000,0,Донской, Орджоникидзе,6/9,Ленинский проспект,
48,Надежда  Новикова,realtor,https://www.cian.ru/rent/flat/307606878/,Москва,rent,flat,4,7,1,36.0,105000,0,Пресненский, Красная Пресня,9,Краснопресненская,
49,ID 108462568,homeowner,https://www.cian.ru/rent/flat/293473417/,Москва,rent,flat,12,14,1,42.0,95000,0,Пресненский,Шелепихинское шоссе,13С3,Шелепиха,
50,Олимп,real_estate_agent,https://www.cian.ru/rent/flat/267385655/,Москва,rent,flat,2,26,2,38.0,70000,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ,
