,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307705467/,Москва,rent,flat,17,22,2,54.0,135000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Тушинская,
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307704871/,Москва,rent,flat,2,15,2,35.0,110000,0,Покровское-Стрешнево,Волоколамское шоссе,71/13к1,Тушинская,
2,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307704855/,Москва,rent,flat,17,22,2,54.0,135000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Тушинская,
3,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703121/,Москва,rent,flat,14,20,2,48.0,110000,0,Покровское-Стрешнево,Волоколамское шоссе,95/2,Тушинская,
4,ID 74174390,homeowner,https://www.cian.ru/rent/flat/307702862/,Москва,rent,flat,17,22,2,54.0,135000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Тушинская,
5,Perfect Manager House,real_estate_agent,https://www.cian.ru/rent/flat/307702277/,Москва,rent,flat,17,22,2,54.0,135000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Тушинская,
6,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307676488/,Москва,rent,flat,2,15,2,40.0,95000,0,Покровское-Стрешнево,Волоколамское шоссе,71/13к1,Тушинская,
7,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307675686/,Москва,rent,flat,17,22,2,55.0,135000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Тушинская,
8,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307668050/,Москва,rent,flat,2,24,2,40.0,95000,0,Покровское-Стрешнево,Волоколамское шоссе,71/13к1,Тушинская,
9,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307657724/,Москва,rent,flat,8,13,2,45.0,120000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к2,Тушинская,
10,ID 70474551,unknown,https://www.cian.ru/rent/flat/307613801/,Москва,rent,flat,7,15,2,33.8,100000,0,Покровское-Стрешнево,бульвар Небесный,1к1,Тушинская,
11,Никита Козлов,realtor,https://www.cian.ru/rent/flat/307533900/,Москва,rent,flat,4,25,2,46.4,125000,0,Покровское-Стрешнево,Волоколамское шоссе,81/2с1,Тушинская,
12,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307521644/,Москва,rent,flat,2,5,2,42.7,54600,0,Южное Тушино, Фабрициуса,16,Тушинская,
13,Ольга Лаухина,realtor,https://www.cian.ru/rent/flat/307509979/,Москва,rent,flat,8,13,2,40.0,120000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к2,Тушинская,
14,ID 68778,realtor,https://www.cian.ru/rent/flat/307492335/,Москва,rent,flat,12,20,2,59.0,110000,0,Покровское-Стрешнево, Циолковского,7,Тушинская,
15,ID 105151311,homeowner,https://www.cian.ru/rent/flat/307483679/,Москва,rent,flat,10,22,2,36.0,130000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Тушинская,
16,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307481620/,Москва,rent,flat,10,25,2,57.8,30000,0,Покровское-Стрешнево,Волоколамское шоссе,81/2с3,Тушинская,
17,Дмитрий Пешехонов,realtor,https://www.cian.ru/rent/flat/307385544/,Москва,rent,flat,5,25,2,66.0,200000,0,Покровское-Стрешнево,Волоколамское шоссе,81/2с1,Тушинская,
18,ID 16202839,homeowner,https://www.cian.ru/rent/flat/307369227/,Москва,rent,flat,17,22,2,53.0,120000,0,Покровское-Стрешнево,,к4,Тушинская,Движение Тушино ЖК
19,ID 235444,real_estate_agent,https://www.cian.ru/rent/flat/307331108/,Москва,rent,flat,4,20,2,36.0,109000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к1,Тушинская,
20,ID 60578993,unknown,https://www.cian.ru/rent/flat/307257068/,Москва,rent,flat,4,5,2,45.0,60000,0,Южное Тушино,Лодочная ,31С1,Тушинская,
21,Евгений Устинов,realtor,https://www.cian.ru/rent/flat/307245141/,Москва,rent,flat,10,12,2,53.3,130000,0,Покровское-Стрешнево,Волоколамское шоссе,71/13к2,Тушинская,
22,Киткин Консалтинг,real_estate_agent,https://www.cian.ru/rent/flat/307193102/,Москва,rent,flat,17,22,2,54.0,125000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к3,Тушинская,
23,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307128626/,Москва,rent,flat,11,28,2,46.0,125000,0,Покровское-Стрешнево,Волоколамское шоссе,81/2с2,Тушинская,
24,ID 60777,realtor,https://www.cian.ru/rent/flat/307119799/,Москва,rent,flat,5,8,2,72.0,24000,0,Покровское-Стрешнево,Волоколамское шоссе,71к4,Тушинская,
25,LikeHome.life,real_estate_agent,https://www.cian.ru/rent/flat/307092293/,Москва,rent,flat,16,22,2,45.0,110000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к1,Тушинская,
26,Екатерина Глазкова,realtor,https://www.cian.ru/rent/flat/306810356/,Москва,rent,flat,24,25,2,50.0,100000,0,Покровское-Стрешнево,Волоколамское шоссе,81/2с2,Тушинская,
27,Алексей Лупарев,realtor,https://www.cian.ru/rent/flat/306800254/,Москва,rent,flat,8,22,2,52.0,107000,0,Покровское-Стрешнево,Волоколамское шоссе,71/22к1,Тушинская,
