,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex
0,Виктория Колотовкина,realtor,https://podolsk.cian.ru/rent/flat/307782908/,Москва,rent,flat,4,5,2,44.0,43000,0,, Маштакова,10,Щербинка,
1,Ирина Дуюнова,realtor,https://podolsk.cian.ru/rent/flat/307756727/,Москва,rent,flat,13,14,2,60.0,65000,0,,бульвар Бородинский,7,Щербинка,
2,ID 320156,realtor,https://podolsk.cian.ru/rent/flat/307745315/,Москва,rent,flat,12,16,2,64.7,55000,0,,Молодежная ,6,Щербинка,
3,АВАНГАРД,real_estate_agent,https://podolsk.cian.ru/rent/flat/307742136/,Москва,rent,flat,5,5,2,45.0,45000,0,,Высотная ,19,Щербинка,
4,ID 16660789,homeowner,https://vidnoye.cian.ru/rent/flat/307741592/,Москва,rent,flat,9,26,2,38.8,50000,0,Дрожжино рп, Южная,3к1,,
5,MOTYLEK - департамент недвижимости,real_estate_agent,https://podolsk.cian.ru/rent/flat/307741591/,Москва,rent,flat,5,5,2,45.0,40000,0,,Высотная ,19,Щербинка,
6,ID 15588137,unknown,https://vidnoye.cian.ru/rent/flat/307739285/,Москва,rent,flat,2,17,2,59.0,62000,0,Дрожжино рп,шоссе Новое,8к2,,
7,ID 80379459,realtor,https://vidnoye.cian.ru/rent/flat/307738326/,Москва,rent,flat,5,19,2,54.3,60000,0,Дрожжино рп, Южная,9,,
8,ID 106921,realtor,https://podolsk.cian.ru/rent/flat/307728115/,Москва,rent,flat,2,9,2,51.9,45000,0,,Октябрьский проспект,2В,Щербинка,
9,ID 121898131,homeowner,https://vidnoye.cian.ru/rent/flat/307725648/,Москва,rent,flat,7,21,2,58.0,60000,0,Дрожжино рп, Южная,19к1,,
10,ID 11693599,unknown,https://vidnoye.cian.ru/rent/flat/307710469/,Москва,rent,flat,5,5,2,63.7,70000,0,Суханово Парк ЖК, Парковая,1к5,,
11,Александр Киреев,realtor,https://domodedovo.cian.ru/rent/flat/307704143/,Москва,rent,flat,11,17,2,60.0,50000,0,с. Домодедово, Творчества,5к1,,
12,Самолет Плюс,real_estate_agent,https://podolsk.cian.ru/rent/flat/307699015/,Москва,rent,flat,9,9,2,35.0,35000,0,, Свердлова,1,Щербинка,
13,ID 55090557,unknown,https://vidnoye.cian.ru/rent/flat/307688611/,Москва,rent,flat,10,20,2,59.9,50000,0,Дрожжино рп,шоссе Новое,10к2,,
14,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307634316/,Москва,rent,flat,7,17,2,52.0,70000,0,Южное Бутово,Варшавское шоссе,282к1,Щербинка,
15,ID 12935,realtor,https://www.cian.ru/rent/flat/307630784/,Москва,rent,flat,6,15,2,56.0,55000,0,, Логинова,3,Щербинка,
16,Циан х ПИК-Аренда,real_estate_agent,https://vidnoye.cian.ru/rent/flat/307630360/,Москва,rent,flat,9,25,2,38.8,52600,0,Дрожжино рп, Южная,3к1,,
17,ID 21870962,unknown,https://vidnoye.cian.ru/rent/flat/307629676/,Москва,rent,flat,13,27,2,48.0,51000,0,Дрожжино рп,шоссе Новое,14,,
18,Аликорн,real_estate_agent,https://podolsk.cian.ru/rent/flat/307612172/,Москва,rent,flat,13,17,2,65.0,50000,0,, Дмитрия Холодова,5,Щербинка,
19,ID 37919308,homeowner,https://vidnoye.cian.ru/rent/flat/307610136/,Москва,rent,flat,3,17,2,60.0,65000,0,Дрожжино рп,шоссе Новое,,,
20,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307588910/,Москва,rent,flat,12,17,2,50.0,80000,0,Южное Бутово,,1.2,Щербинка,Никольские Луга ЖК
21,Игорь Королёв,realtor,https://domodedovo.cian.ru/rent/flat/307587784/,Москва,rent,flat,14,18,2,55.0,50000,0,с. Домодедово, Творчества,1,,
22,Евгений Кабко,realtor,https://vidnoye.cian.ru/rent/flat/307541200/,Москва,rent,flat,16,17,2,63.8,80000,0,Дрожжино рп,шоссе Новое,12к3,,
23,ID 7185760,homeowner,https://domodedovo.cian.ru/rent/flat/307509028/,Москва,rent,flat,7,15,2,63.0,55000,0,, Текстильщиков,31,Щербинка,
24,ID 80815118,unknown,https://vidnoye.cian.ru/rent/flat/307493007/,Москва,rent,flat,15,21,2,58.3,70000,0,Дрожжино рп,шоссе Новое,3к1,,
25,ID 118375392,homeowner,https://www.cian.ru/rent/flat/307461032/,Москва,rent,flat,17,18,2,65.0,60000,0,,,5,Щербинка,
26,ID 103487532,homeowner,https://vidnoye.cian.ru/rent/flat/307456624/,Москва,rent,flat,16,25,2,57.4,50000,0,,,,,
27,BARSANDKEY,real_estate_agent,https://www.cian.ru/rent/flat/307438757/,Москва,rent,flat,11,17,2,35.0,50000,0,Южное Бутово,Варшавское шоссе,282к2,Щербинка,
